source,Ensembl_Gene_ID,default_panel
Wang 2016,ENSG00000140623,True
Wang 2016,ENSG00000140798,False
Wang 2016,ENSG00000140932,True
Wang 2016,ENSG00000140955,True
Wang 2016,ENSG00000141096,True
Wang 2016,ENSG00000141255,True
Wang 2016,ENSG00000141316,True
Wang 2016,ENSG00000141371,True
Wang 2016,ENSG00000141497,False
Wang 2016,ENSG00000141665,False
Wang 2016,ENSG00000141946,False
Wang 2016,ENSG00000141977,False
Wang 2016,ENSG00000142025,True
Wang 2016,ENSG00000142513,False
Wang 2016,ENSG00000142530,False
Wang 2016,ENSG00000142621,False
Wang 2016,ENSG00000142698,True
Wang 2016,ENSG00000142731,False
Wang 2016,ENSG00000142920,False
Wang 2016,ENSG00000142945,False
Wang 2016,ENSG00000143006,True
Wang 2016,ENSG00000143032,False
Wang 2016,ENSG00000143194,False
Wang 2016,ENSG00000143199,False
Wang 2016,ENSG00000143228,False
Wang 2016,ENSG00000143443,False
Wang 2016,ENSG00000143450,False
Wang 2016,ENSG00000143452,True
Wang 2016,ENSG00000143476,False
Wang 2016,ENSG00000143479,False
Wang 2016,ENSG00000143512,True
Wang 2016,ENSG00000143552,True
Wang 2016,ENSG00000143994,False
Wang 2016,ENSG00000144015,False
Wang 2016,ENSG00000144395,False
Wang 2016,ENSG00000144671,True
Wang 2016,ENSG00000144962,True
Wang 2016,ENSG00000145309,True
Wang 2016,ENSG00000145491,False
Wang 2016,ENSG00000145757,False
Wang 2016,ENSG00000145850,False
Wang 2016,ENSG00000145975,False
Wang 2016,ENSG00000146221,False
Wang 2016,ENSG00000146276,False
Wang 2016,ENSG00000146410,False
Wang 2016,ENSG00000146453,False
Wang 2016,ENSG00000146670,False
Wang 2016,ENSG00000147081,True
Wang 2016,ENSG00000147127,False
Wang 2016,ENSG00000147183,True
Wang 2016,ENSG00000147378,True
Wang 2016,ENSG00000147381,True
Wang 2016,ENSG00000147570,False
Wang 2016,ENSG00000147596,False
Wang 2016,ENSG00000148156,True
Wang 2016,ENSG00000148200,False
Wang 2016,ENSG00000148680,False
Wang 2016,ENSG00000148814,False
Wang 2016,ENSG00000148832,False
Wang 2016,ENSG00000149243,False
Wang 2016,ENSG00000149507,False
Wang 2016,ENSG00000149548,False
Wang 2016,ENSG00000149646,False
Wang 2016,ENSG00000149679,False
Wang 2016,ENSG00000149926,False
Wang 2016,ENSG00000150628,True
Wang 2016,ENSG00000150667,False
Wang 2016,ENSG00000150676,True
Wang 2016,ENSG00000150773,False
Wang 2016,ENSG00000150783,False
Wang 2016,ENSG00000151005,True
Wang 2016,ENSG00000151033,True
Wang 2016,ENSG00000151164,False
Wang 2016,ENSG00000151287,False
Wang 2016,ENSG00000151360,True
Wang 2016,ENSG00000151615,False
Wang 2016,ENSG00000151725,False
Wang 2016,ENSG00000151846,False
Wang 2016,ENSG00000151962,True
Wang 2016,ENSG00000152086,False
Wang 2016,ENSG00000152192,False
Wang 2016,ENSG00000152208,False
Wang 2016,ENSG00000152430,True
Wang 2016,ENSG00000152463,False
Wang 2016,ENSG00000152503,False
Wang 2016,ENSG00000152592,False
Wang 2016,ENSG00000152670,True
Wang 2016,ENSG00000152705,False
Wang 2016,ENSG00000153044,False
Wang 2016,ENSG00000153060,True
Wang 2016,ENSG00000153347,False
Wang 2016,ENSG00000153495,False
Wang 2016,ENSG00000153779,True
Wang 2016,ENSG00000153790,False
Wang 2016,ENSG00000154007,True
Wang 2016,ENSG00000154040,False
Wang 2016,ENSG00000154099,False
Wang 2016,ENSG00000154143,False
Wang 2016,ENSG00000154438,True
Wang 2016,ENSG00000154479,False
Wang 2016,ENSG00000154548,False
Wang 2016,ENSG00000154611,False
Wang 2016,ENSG00000154645,False
Wang 2016,ENSG00000154920,False
Wang 2016,ENSG00000154997,False
Wang 2016,ENSG00000155367,False
Wang 2016,ENSG00000155495,True
Wang 2016,ENSG00000155530,False
Wang 2016,ENSG00000155714,False
Wang 2016,ENSG00000155719,False
Wang 2016,ENSG00000155749,False
Wang 2016,ENSG00000155754,True
Wang 2016,ENSG00000155875,False
Wang 2016,ENSG00000155890,True
Wang 2016,ENSG00000156009,True
Wang 2016,ENSG00000156269,True
Wang 2016,ENSG00000156509,True
Wang 2016,ENSG00000156970,False
Wang 2016,ENSG00000157060,False
Wang 2016,ENSG00000157093,True
Wang 2016,ENSG00000157330,False
Wang 2016,ENSG00000157343,False
Wang 2016,ENSG00000157456,False
Wang 2016,ENSG00000157578,False
Wang 2016,ENSG00000157653,False
Wang 2016,ENSG00000157884,False
Wang 2016,ENSG00000158402,False
Wang 2016,ENSG00000158423,False
Wang 2016,ENSG00000158525,False
Wang 2016,ENSG00000158553,True
Wang 2016,ENSG00000158639,True
Wang 2016,ENSG00000159217,False
Wang 2016,ENSG00000159224,False
Wang 2016,ENSG00000159289,True
Wang 2016,ENSG00000159374,False
Wang 2016,ENSG00000159495,False
Wang 2016,ENSG00000159625,False
Wang 2016,ENSG00000159761,False
Wang 2016,ENSG00000160207,False
Wang 2016,ENSG00000160318,False
Wang 2016,ENSG00000160396,False
Wang 2016,ENSG00000160471,False
Wang 2016,ENSG00000160505,False
Wang 2016,ENSG00000160838,False
Wang 2016,ENSG00000160886,False
Wang 2016,ENSG00000161036,False
Wang 2016,ENSG00000161040,False
Wang 2016,ENSG00000161180,True
Wang 2016,ENSG00000161594,True
Wang 2016,ENSG00000161609,False
Wang 2016,ENSG00000161652,True
Wang 2016,ENSG00000161798,False
Wang 2016,ENSG00000161860,True
