Ensembl_Gene_ID,Symbol,paper_dois,source_tags,source_locations,default_panel,nomination_scope,legacy_retention_evidence_caveat,evidence_scope
ENSG00000168904,LRRC28,10.1002/1878-0261.12900,Jamin2021_CT,10.1002/1878-0261.12900: MOL2-15-3003-s007.xlsx / Expression data and classes / rows 1088,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000168930,TRIM49,10.1038/ncomms10499;10.18632/oncotarget.21715,Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 549 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 1023 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 888,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000168944,CEP120,10.1002/1878-0261.12900,Jamin2021_CT,10.1002/1878-0261.12900: MOL2-15-3003-s007.xlsx / Expression data and classes / rows 1731,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169059,VCX3A,10.1002/cam4.2223;10.1038/ncomms10499;10.1038/s41467-021-22695-y;10.1136/jitc-2023-007935;10.1371/journal.pgen.1011734;10.18632/oncotarget.21715,Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S1;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,"10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 557 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 550 | 10.1038/s41467-021-22695-y: gong.xlsx / Data 5 - tissue-enriched PC / rows 936 | 10.1136/jitc-2023-007935: jitc-2023-007935supp001.pdf / Supplementary Table 2 / rows PDF page 19, text line 7 | 10.1371/journal.pgen.1011734: loriot-s1.xlsx / List of 146 CG genes / rows 69 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 1063 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 923",True,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169064,ZBBX,10.1002/1878-0261.12900,Jamin2021_CT,10.1002/1878-0261.12900: MOL2-15-3003-s007.xlsx / Expression data and classes / rows 315,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169126,ODAD2,10.1002/cam4.2223;10.1038/ncomms10499,Chang2019_TGCT;Wang2016_CT,10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 558 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 551,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169154,GOT1L1,10.1002/cam4.2223;10.1038/s41467-021-22695-y;10.18632/oncotarget.21715,Chang2019_TGCT;Gong2021_reproductive_PC;daSilva2017_testis_biased,10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 559 | 10.1038/s41467-021-22695-y: gong.xlsx / Data 5 - tissue-enriched PC / rows 937 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 404,True,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169169,CPT1C,10.1002/1878-0261.12900,Jamin2021_CT,10.1002/1878-0261.12900: MOL2-15-3003-s007.xlsx / Expression data and classes / rows 2658,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169194,IL13,10.1002/cam4.2223;10.1038/ncomms10499;10.1038/s41467-021-22695-y;10.18632/oncotarget.21715,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 560 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 552 | 10.1038/s41467-021-22695-y: gong.xlsx / Data 5 - tissue-enriched PC / rows 938 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 453 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 389,True,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169214,OR6F1,10.1002/cam4.2223;10.1038/ncomms10499;10.1038/s41467-021-22695-y;10.18632/oncotarget.21715,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 561 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 553 | 10.1038/s41467-021-22695-y: gong.xlsx / Data 5 - tissue-enriched PC / rows 939 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 688 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 598,True,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169248,CXCL11,10.1038/s41388-018-0357-2,Bruggeman2018_GC,10.1038/s41388-018-0357-2: 41388_2018_357_MOESM4_ESM.xlsx / 1D / rows 458,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169340,PDILT,10.18632/oncotarget.21715,daSilva2017_CT;daSilva2017_testis_biased,10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 727 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 635,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169393,ELSPBP1,10.1038/ncomms10499;10.18632/oncotarget.21715,Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 554 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 310 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 265,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169402,RSPH10B2,10.1002/1878-0261.12900;10.1002/cam4.2223;10.1038/ncomms10499;10.18632/oncotarget.21715,Chang2019_TGCT;Jamin2021_CT;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,10.1002/1878-0261.12900: MOL2-15-3003-s007.xlsx / Expression data and classes / rows 232 | 10.1002/cam4.2223: CAM4-8-3511-s002.xlsx / Suppl Table 2 / rows 562 | 10.1038/ncomms10499: ncomms10499-s4.xlsx / Supplementary Data 3A / rows 555 | 10.18632/oncotarget.21715: oncotarget-08-92966-s002.xls / 1103 CTs predicted / rows 844 | 10.18632/oncotarget.21715: oncotarget-08-92966-s003.xls / Sheet1 / rows 737,False,includes_cancer_associated_source,False,Paper nomination/expression; antigen validation must be assessed separately
ENSG00000169495,HTRA4,10.1038/s41467-021-22695-y,Gong2021_placenta_PC;Gong2021_reproductive_PC,10.1038/s41467-021-22695-y: Supplementary Data 5: placenta rows / Supplementary Data 5: placenta rows / rows see named figure | 10.1038/s41467-021-22695-y: gong.xlsx / Data 5 - tissue-enriched PC / rows 480,True,normal_reproductive_expression_only,True,Paper nomination/expression; antigen validation must be assessed separately
