identity,Ensembl_Gene_ID,Symbol,biotype,source_databases,nominated,mapped,protein_coding,family_eligible,hpa_restriction,default_panel
ENSG00000171060,ENSG00000171060,C8orf74,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000171094,ENSG00000171094,ALK,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000171102,ENSG00000171102,OBP2B,protein_coding,Chang2019_TGCT;Wang2016_CT,True,True,True,True,False,False
ENSG00000171121,ENSG00000171121,KCNMB3,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000171133,ENSG00000171133,OR2K2,protein_coding,daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000171209,ENSG00000171209,CSN3,protein_coding,Wang2016_CT;daSilva2017_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,True,True,True,True,False,False
ENSG00000171320,ENSG00000171320,ESCO2,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000171402,ENSG00000171402,XAGE3,protein_coding,CTpedia;Gong2021_placenta_PC;Gong2021_reproductive_PC;Wang2016_CT,True,True,True,True,True,True
ENSG00000171405,ENSG00000171405,XAGE5,protein_coding,CTexploreR_CT;CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S1;Wang2016_CT;daSilva2017;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000171478,ENSG00000171478,SPACA5B,protein_coding,daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000171481,ENSG00000171481,OR1L3,protein_coding,daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000171487,ENSG00000171487,NLRP5,protein_coding,Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000171489,ENSG00000171489,SPACA5,protein_coding,Wang2016_CT,True,True,True,True,True,True
ENSG00000171492,ENSG00000171492,LRRC8D,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000171495,ENSG00000171495,MROH2B,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000171505,ENSG00000171505,OR1N1,protein_coding,daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000171533,ENSG00000171533,MAP6,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000171540,ENSG00000171540,OTP,protein_coding,Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000171722,ENSG00000171722,SPATA46,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S2;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000171757,ENSG00000171757,LRRC34,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000171772,ENSG00000171772,SYCE1,protein_coding,Chang2019_TGCT;Wang2016_CT,True,True,True,True,False,False
ENSG00000171790,ENSG00000171790,SLFNL1,protein_coding,Chang2019_TGCT;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000171794,ENSG00000171794,UTF1,protein_coding,CTpedia;Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000171804,ENSG00000171804,WDR87,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000171827,ENSG00000171827,ZNF570,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000171847,ENSG00000171847,FAM90A1,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000171864,ENSG00000171864,PRND,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000171872,ENSG00000171872,KLF17,protein_coding,Chang2019_TGCT;Wang2016_CT,True,True,True,True,True,True
ENSG00000171931,ENSG00000171931,FBXW10,protein_coding,Chang2019_TGCT;Jamin2021_CT;Loriot2025_S2;Wang2016_CT,True,True,True,True,False,False
ENSG00000171956,ENSG00000171956,FOXB1,protein_coding,Wang2016_CT,True,True,True,True,False,False
ENSG00000171988,ENSG00000171988,JMJD1C,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000171989,ENSG00000171989,LDHAL6B,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000172073,ENSG00000172073,SPMIP9,protein_coding,CTpedia;Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_testis_biased,True,True,True,True,True,True
