Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,biotype,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_97_pct_filter,rna_98_pct_filter,rna_99_pct_filter,passes_filters,rna_max_ntpm,never_expressed,rna_testis_ntpm,rna_ovary_ntpm,rna_placenta_ntpm,rna_max_somatic_tissue,rna_max_somatic_ntpm,rna_somatic_detected_count,rna_brain_max_ntpm,rna_heart_max_ntpm,rna_lung_max_ntpm,rna_liver_max_ntpm,rna_pancreas_max_ntpm,protein_restriction,protein_testis,protein_ovary,protein_placenta,rna_restriction,rna_restriction_level,restriction,restriction_confidence,safety_flags,specificity_status,specificity_action,specificity_source_anchor,specificity_rationale
ZNF483,,,,ENSG00000173258,Bruggeman2018_GC,no data,no data,no data,False,True,no data,0.067,0.074,0.0746,0.0746,,protein_coding,False,False,False,False,False,False,False,11.3,False,5.0,4.1,0.5,retina,11.3,32,11.3,2.0,1.6,0.8,1.7,NO_DATA,,,,SOMATIC,LEAKY,SOMATIC,MODERATE,brain,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
PLAC8L1,,,,ENSG00000173261,Chang2019_TGCT;Wang2016_CT,no data,no data,no data,False,False,no data,0.4256,0.4279,0.7934,0.7934,,protein_coding,False,False,False,False,False,False,False,17.9,False,17.9,0.4,0.0,spinal cord,2.4,8,2.4,0.3,0.2,0.9,0.5,NO_DATA,,,,SOMATIC,LEAKY,SOMATIC,MODERATE,,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SLC2A14,,,,ENSG00000173262,Bruggeman2018_GC;Gong2021_reproductive_PC;Loriot2025_S2,False,False,Supported,False,False,bone marrow; breast; placenta; testis,0.6683,0.6699,0.8101,0.8101,,protein_coding,True,False,False,False,False,False,False,79.4,False,79.4,2.7,1.1,pancreas,6.4,8,1.3,0.7,0.5,2.9,6.4,SOMATIC,True,False,True,SOMATIC,PERMISSIVE,SOMATIC,HIGH,pancreas,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
CST9,,,,ENSG00000173335,daSilva2017_CT;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,0.0,0.0,0.0,0.0,,protein_coding,False,False,False,False,False,False,False,1.9,True,0.0,0.0,0.0,kidney,0.1,0,0.0,0.0,0.0,0.0,0.0,NO_DATA,,,,NO_DATA,LEAKY,NO_DATA,NO_DATA,,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
IQCF1,,,,ENSG00000173389,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,0.9985,0.9985,1.0,1.0,,protein_coding,True,True,True,True,True,True,True,68.7,False,68.7,0.0,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
GLIPR1L1,,,,ENSG00000173401,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,False,Enhanced,True,False,testis,0.826,0.826,1.0,1.0,,protein_coding,True,True,True,True,True,True,True,31.6,False,31.6,0.2,0.0,skin,0.5,0,0.4,0.3,0.1,0.0,0.2,TESTIS,True,False,False,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
IHO1,,,,ENSG00000173421,Chang2019_TGCT;Wang2016_CT,True,False,Approved,False,False,testis,0.5308,0.5325,0.8639,0.8639,,protein_coding,True,False,False,False,False,False,False,25.7,False,25.7,3.6,0.9,adipose tissue,3.1,6,1.3,1.1,0.5,0.1,0.2,TESTIS,True,False,False,SOMATIC,PERMISSIVE,TESTIS,LOW,,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
RNASE8,,,,ENSG00000173431,daSilva2017_CT;daSilva2017_testis_biased,no data,no data,no data,False,False,no data,0.0,0.0,0.0,0.0,,protein_coding,False,False,False,False,False,False,False,53.2,False,0.0,0.0,0.0,salivary gland,53.2,1,0.0,0.0,0.0,0.0,0.2,NO_DATA,,,,SOMATIC,LEAKY,SOMATIC,MODERATE,,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
THAP2,,,,ENSG00000173451,Jamin2021_CT,False,False,Approved,False,True,adipose tissue; adrenal gland; appendix; bone marrow; breast; bronchus; caudate; cerebral cortex; cervix; colon; duodenum; endometrium 1; endometrium 2; epididymis; esophagus; fallopian tube; gallbladder; heart muscle; hippocampus; kidney; liver; lung; lymph node; nasopharynx; oral mucosa; ovary; pancreas; parathyroid gland; placenta; prostate; rectum; salivary gland; seminal vesicle; skeletal muscle; skin 1; skin 2; small intestine; stomach 1; stomach 2; testis; thyroid gland; tonsil,0.0885,0.1034,0.0932,0.1073,,protein_coding,False,False,False,False,False,False,False,27.2,False,17.6,7.2,6.6,urinary bladder,27.2,38,10.9,5.0,4.6,4.3,3.7,SOMATIC,True,True,True,SOMATIC,LEAKY,SOMATIC,MODERATE,brain;heart,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
RNASE11,,,,ENSG00000173464,Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,0.0671,0.0671,0.0657,0.0657,,protein_coding,False,False,False,False,False,False,False,643.4,False,46.2,0.0,0.1,small intestine,0.1,0,0.0,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,LEAKY,TESTIS,MODERATE,,excluded_normal_expression,exclude_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
