Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,biotype,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_97_pct_filter,rna_98_pct_filter,rna_99_pct_filter,passes_filters,rna_max_ntpm,never_expressed,rna_testis_ntpm,rna_ovary_ntpm,rna_placenta_ntpm,rna_max_somatic_tissue,rna_max_somatic_ntpm,rna_somatic_detected_count,rna_brain_max_ntpm,rna_heart_max_ntpm,rna_lung_max_ntpm,rna_liver_max_ntpm,rna_pancreas_max_ntpm,protein_restriction,protein_testis,protein_ovary,protein_placenta,rna_restriction,rna_restriction_level,restriction,restriction_confidence,safety_flags,specificity_status,specificity_action,specificity_source_anchor,specificity_rationale
SPATA31E1,C9orf79;FAM75E1,,cancer-testis antigen,ENSG00000177992,CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000325643,protein_coding,True,True,True,True,True,True,True,7.3,False,7.3,0.0,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,TESTIS,True,False,False,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPATA31A1,C9orf36;C9orf36A;FAM75A1;FAM75A2;SPATA31A2,,cancer-testis antigen,ENSG00000204849,CTpedia;Gong2021_reproductive_PC;daSilva2017;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000377647,protein_coding,True,True,True,True,True,True,True,8.7,False,8.7,0.0,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPATA31A3,FAM75A3,,cancer-testis antigen,ENSG00000275969,CTpedia;Gong2021_reproductive_PC;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000428649,protein_coding,True,True,True,True,True,True,True,4.6,False,4.6,0.0,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPATA31A5,FAM75A5,,cancer-testis antigen,ENSG00000276581,CTpedia;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000437823,protein_coding,True,True,True,True,True,True,True,1.0,True,1.0,0.0,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,TESTIS,MODERATE,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPATA31A6,FAM75A6,,cancer-testis antigen,ENSG00000185775,CTpedia;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000332857,protein_coding,True,True,True,True,True,True,True,1.9,True,1.9,0.0,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,TESTIS,MODERATE,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPATA31A7,AEP1;C9orf36;C9orf36A;FAM75A4;FAM75A7;SPATA31A4,,cancer-testis antigen,ENSG00000276040,CTpedia;daSilva2017;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000619167,protein_coding,True,True,True,True,True,True,True,2.8,False,2.8,0.0,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPATA31D3,FAM75D3,,cancer-testis antigen,ENSG00000186788,CTpedia;Gong2021_reproductive_PC;daSilva2017;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000445385,protein_coding,True,True,True,True,True,True,True,7.8,False,7.8,0.0,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPATA31D4,FAM75D4,,cancer-testis antigen,ENSG00000189357,CTpedia;Gong2021_reproductive_PC;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000419782,protein_coding,True,True,True,True,True,True,True,5.9,False,5.9,0.0,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPATA32,AEP2;C17orf46;TEX34;VAD1.2,,cancer-testis antigen,ENSG00000184361,CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,True,False,Approved,True,False,testis,0.9443,0.9443,1.0,1.0,ENST00000331780,protein_coding,True,True,True,True,True,True,True,42.4,False,42.4,0.0,0.0,duodenum,0.5,0,0.0,0.0,0.1,0.0,0.1,TESTIS,True,False,False,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
SPACA1,SAMP32;SPGF85,,cancer-testis antigen,ENSG00000118434,CTpedia;Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,True,False,Enhanced,True,False,testis,0.9975,0.9975,1.0,1.0,ENST00000237201,protein_coding,True,True,True,True,True,True,True,40.7,False,40.7,0.0,0.0,kidney,0.1,0,0.0,0.0,0.0,0.0,0.0,TESTIS,True,False,False,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
