Ensembl_Gene_ID,Symbol,historical_tag,comparison_sources,status,effect
ENSG00000174015,CBY2,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000172717,GARIN2,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000261649,GOLGA6L7,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000126856,PRDM7,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000141371,CHCT1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000183206,POTEC,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000196350,ZNF729,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000268696,ZNF723,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000261949,GFY,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000125823,CSTL1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000169059,VCX3A,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000182583,VCX,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000205642,VCX3B,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000224960,PPP4R3C,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000189186,DCAF8L2,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000165583,SSX5,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000215115,CXorf49,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000215113,CXorf49B,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000153779,TGIF2LX,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000123576,ESX1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000282815,TEX13C,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000169551,CT55,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000269586,CT45A10,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000235699,CXorf51B,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000129864,VCY,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000129862,VCY1B,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000242875,RBMY1B,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000234414,RBMY1A1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000242389,RBMY1E,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000223510,CDRT15,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000268940,CT45A1,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000269096,CT45A3,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000126890,CTAG2,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000176746,MAGEB6,CTexploreR_CT,Loriot2025_S1,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000238269,PAGE2B,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000224902,GAGE12H,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000224659,GAGE12J,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000114547,ROPN1B,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000150628,SPATA4,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000141255,SPATA22,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000141316,SPACA3,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000104901,DKKL1,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000124490,CRISP2,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000204019,CT83,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000182459,TEX19,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000131126,TEX101,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000153060,TEKT5,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000143452,HORMAD1,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000185686,PRAME,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000186007,LEMD1,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000166796,LDHC,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000143194,MAEL,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000139351,SYCP3,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000121101,TEX14,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000186075,ZPBP2,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000162641,AKNAD1,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000182308,DCAF4L1,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000156269,NAA11,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000203907,OOEP,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000175877,TMEM270,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000106013,ANKRD7,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000235631,RNF148,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000135248,GARIN1B,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000185863,TMEM210,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000179088,C12orf42,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000196553,CCDC196,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000159708,LRRC36,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000141096,DPEP3,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000177294,FBXO39,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000270806,C17orf50,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000180336,MEIOC,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000258713,C20orf141,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000215529,EFCAB8,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000237671,GAGE12C,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000236362,GAGE12F,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000007350,TKTL1,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000162779,AXDND1,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000275113,GAGE2E,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000105679,GAPDHS,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000128322,IGLL1,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000151846,PABPC3,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000165496,RPL10L,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000196335,STK31,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000173809,TDRD12,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000152086,TUBA3E,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000198028,ZNF560,CTexploreR_CTP,Loriot2025_S2,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000068985,PAGE1,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000234068,PAGE2,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000238269,PAGE2B,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000189064,GAGE2A,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000224902,GAGE12H,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000198681,MAGEA1,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000147381,MAGEA4,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000221867,MAGEA3,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000189023,MAGEB16,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000176774,MAGEB18,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000155495,MAGEC1,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000046774,MAGEC2,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000227234,SPANXB1,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000198573,SPANXC,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000196406,SPANXD,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000155087,ODF1,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000184650,ODF4,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000141255,SPATA22,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000268651,CTAG1A,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000212710,CTAGE1,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000126752,SSX1,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000241476,SSX2,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000165584,SSX3,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000271449,CT45A2,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000204019,CT83,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000185686,PRAME,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000117148,ACTL8,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000187772,LIN28B,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000163530,DPPA2,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000269058,CALR3,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000152670,DDX4,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000205777,GAGE1,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000162039,MEIOB,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000125207,PIWIL1,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000077935,SMC1B,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000196604,POTEF,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000176566,DCAF4L2,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000198033,TUBA3C,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000215115,CXorf49,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000242875,RBMY1B,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000234414,RBMY1A1,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000242389,RBMY1E,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000156269,NAA11,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000141096,DPEP3,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000236362,GAGE12F,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000007350,TKTL1,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000124227,ANKRD60,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000162779,AXDND1,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000167695,TLCD3A,daSilva2017_protein,daSilva2017_tumor_proteomics,not_reproduced_by_complete_import,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000174038,C9orf131,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000161609,KASH5,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000175820,CCDC168,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000173093,CCDC63,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000223510,CDRT15,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000154227,CERS3,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000134389,CFHR5,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000204414,CSHL1,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000171209,CSN3,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000180138,CSNK1A1L,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
ENSG00000268940,CT45A1,daSilva2017_protein,daSilva2017_tumor_proteomics,reproduced,Audit only; active provenance and plots use exact imported paper memberships
