cancer_code,status,qc_used,n_samples_pg,n_samples_on,n_samples_match,n_genes_pg,n_genes_on,n_genes_shared,n_genes_pg_only,n_genes_on_only,n_scored,rel_median,rel_p95,rel_max,n_divergent,n_on_missing_value
NEC_MERKEL,ok,artifact,91,91,True,23265,23169,23169,96,0,15620,0.0004500758736951315,0.0013571965904188312,0.003087085815577556,0,0
NET_LUNG,ok,artifact,118,118,True,59178,51445,51445,7733,0,17578,0.0003999635374189345,0.0012131661781592544,0.3960662774736446,0,0
NET_MIDGUT,ok,artifact,81,78,False,60464,52687,52687,7777,0,21594,0.012161761775840208,0.06075674253526195,0.5809576049000725,2,0
NET_PANCREAS,ok,artifact,113,30,False,60464,52687,52687,7777,0,21066,0.2009315844894244,0.6824101185479019,47.24470527081211,2158,0
NET_RECTAL,ok,artifact,18,18,True,60464,52687,52687,7777,0,21258,0.0006688157702437739,0.006553643348955926,0.2727817559745995,0,0
NPC,ok,artifact,4,4,True,34571,29636,29636,4935,0,14035,0.015300339377294586,0.2662063040112845,0.908962905533301,123,0
NUTM,ok,artifact,3,3,True,20031,19920,19920,111,0,17924,0.000566579834511599,0.00168835712034669,0.0019887605850610135,0,0
OV,ok,artifact,426,426,True,34571,29636,29636,4935,0,14040,0.00044805356450768605,0.0013770594976813706,0.0037410532471767273,0,0
PAAD,ok,artifact,179,178,False,34571,29636,29636,4935,0,14407,0.0022549225111853023,0.012063287058870284,0.15627968089231659,0,0
PCPG,ok,artifact,182,182,True,34571,29636,29636,4935,0,13704,0.0004502381145577375,0.0014075705369718825,0.0066761181416446005,0,0
PRAD,ok,artifact,496,496,True,34571,29636,29636,4935,0,14051,0.0004516611932591157,0.00142216370258001,0.003776519758469609,0,0
RB,ok,artifact,15,15,True,34571,29636,29636,4935,0,17517,0.0004457609012842434,0.0014252528118298981,0.001981909773352129,0,0
READ,ok,artifact,93,93,True,34571,29636,29636,4935,0,13653,0.0004606057940045955,0.0014356640734479397,0.0032669054497961106,0,0
READ_MSI,ok,artifact,2,2,True,34571,29636,29636,4935,0,14346,0.015069910058043975,0.28094937437889694,0.9476687591289056,169,0
READ_MSS,ok,artifact,83,83,True,34571,29636,29636,4935,0,13646,0.00046207383024165897,0.001423323523252188,0.0030939234890969146,0,0
RT,ok,artifact,63,63,True,60279,52545,52545,7734,0,15993,0.0004020570929031411,0.0012508418142946312,0.0038975222586709627,0,0
SARC_ANGIO,ok,artifact,20,20,True,34571,29636,29636,4935,0,13626,0.0006752423457459212,0.005002953316524085,0.19057603405064744,0,0
SARC_ASPS,ok,artifact,3,3,True,34571,29636,29636,4935,0,13182,0.0004494731410897125,0.0014186207687914966,0.003846164335585101,0,0
SARC_CCS,ok,artifact,5,5,True,16725,16310,16310,415,0,12990,0.0004704819918542033,0.0014690814004181755,0.003906965991457039,0,0
SARC_CHON,ok,artifact,54,47,False,62497,54762,54762,7735,0,15245,0.029210147255605143,0.24088447180622893,5.313308651372045,214,0
SARC_CHOR,ok,artifact,20,20,True,62497,54762,54762,7735,0,18268,0.0006368788943570918,0.00759335703094801,0.528323626034913,2,0
SARC_DDLPS,ok,artifact,48,48,True,34571,29636,29636,4935,0,13281,0.0005043562751440268,0.0018486241075332708,0.0640776522836615,0,0
SARC_DSRCT,ok,artifact,9,9,True,34571,29636,29636,4935,0,14367,0.0004671758359561522,0.0014343645903152507,0.0037827717735613824,0,0
SARC_EHE,ok,artifact,1,1,True,34571,29636,29636,4935,0,13668,0.00044548142175650614,0.001402325242092991,0.0038773240219643745,0,0
SARC_EPITH,ok,artifact,5,5,True,34571,29636,29636,4935,0,13640,0.00044414876423875247,0.0013288673969744768,0.0037783368203658393,0,0
SARC_ESS_HG,ok,artifact,4,4,True,20105,19941,19941,164,0,19679,0.0031738232872450733,0.12198948315497105,0.815992222706115,74,0
SARC_ESS_LG,ok,artifact,9,9,True,20105,19941,19941,164,0,17888,0.0004447020209997561,0.001501689161410434,0.00198947724664861,0,0
SARC_EWS,ok,artifact,101,101,True,34571,29636,29636,4935,0,14007,0.0004646938866011893,0.0014266631854758273,0.0036490428232798127,0,0
SARC_GIST,ok,artifact,19,19,True,34571,29636,29636,4935,0,13882,0.0004627971258908323,0.001463488778706687,0.0026463419927354416,0,0
SARC_IFS,ok,artifact,2,2,True,34571,29636,29636,4935,0,14300,0.04738834265457192,0.5002451222618672,0.9461166123531485,716,0
SARC_IMT,ok,artifact,4,4,True,34571,29636,29636,4935,0,14378,0.002360437157426041,0.06311358698144147,0.8051816460066177,72,0
SARC_KS,ok,artifact,10,10,True,58375,50643,50643,7732,0,16476,0.0014306406261847828,0.02189189727290658,0.560262418446764,3,0
SARC_LGFMS,ok,artifact,2,2,True,18905,29636,18812,93,10824,12834,0.49236136981970013,1.8051480615788653,50.65178638902399,6286,0
SARC_LMS,ok,artifact,151,151,True,34571,29636,29636,4935,0,13658,0.0004482100805048606,0.001342518213566232,0.0036165788586725984,0,0
SARC_LPS_UNSPEC,ok,artifact,92,92,True,34571,29636,29636,4935,0,13503,0.00047395455243238153,0.0014703984890328428,0.029878322577357293,0,0
SARC_MMNST,ok,artifact,3,3,True,44446,38064,38064,6382,0,16448,0.00039105762404130425,0.001030082860678121,0.0037980713306606235,0,0
SARC_MPNST,ok,artifact,13,13,True,34571,29636,29636,4935,0,14213,0.00045417897826646487,0.001341701396793798,0.0034076534490410644,0,0
SARC_MYXFIB,ok,artifact,41,41,True,34571,29636,29636,4935,0,13415,0.00045408001244453904,0.0014431303006689493,0.003847207487063458,0,0
SARC_MYXLPS,ok,artifact,28,28,True,13653,13471,13471,182,0,13471,0.0005335219599413192,0.0016344112924711854,0.02869483335512721,0,0
SARC_OS,ok,artifact,262,262,True,34571,29636,29636,4935,0,13571,0.00045034376791429397,0.0013629672144689796,0.01942477555843787,0,0
SARC_PEC,ok,artifact,69,66,False,21446,21351,21351,95,0,12730,0.01904707805772833,0.11216168597917431,0.5371503993420618,3,0
SARC_PLEOLPS,ok,artifact,4,4,True,18905,18825,18825,80,0,13207,0.0052123978970194116,0.12369152892984357,0.8144707855044727,42,0
SARC_RMS_ARMS,ok,artifact,73,73,True,34571,29636,29636,4935,0,14185,0.00046233014950682695,0.0014181780671989024,0.0033802727031693597,0,0
SARC_RMS_ERMS,ok,artifact,95,95,True,34571,29636,29636,4935,0,14141,0.0004557655581679557,0.0013880537331947837,0.003860103632467834,0,0
SARC_RMS_PRMS,ok,artifact,6,6,True,34571,29636,29636,4935,0,14118,0.002861644813873963,0.061337908444866814,0.6982089285031622,13,0
SARC_RMS_SSRMS,ok,artifact,8,8,True,34571,29636,29636,4935,0,13901,0.002476667333368348,0.05835385609780425,0.7278969366342338,8,0
SARC_SYN,ok,artifact,50,50,True,34571,29636,29636,4935,0,14166,0.0005321623762178567,0.0018158897395504326,0.24774070431640574,0,0
SARC_UPS,ok,artifact,110,110,True,34571,29636,29636,4935,0,13470,0.00047596516694198645,0.0014826642967911423,0.16121755044386651,0,0
SARC_WDLPS,ok,artifact,5,5,True,34571,29636,29636,4935,0,13183,0.00044143322857885677,0.0013382157008357692,0.003896495003773668,0,0
SCLC,ok,artifact,81,81,True,16889,16810,16810,79,0,12272,0.00047427637968053716,0.0015145659389037627,0.0022673047709280674,0,0
SCLC_ASCL1,ok,artifact,61,61,True,16889,16810,16810,79,0,12316,0.00047588642357498695,0.0015622181872541065,0.0034358569073170324,0,0
SCLC_NEUROD1,ok,artifact,8,8,True,16889,16810,16810,79,0,12204,0.0017909584196063822,0.051834444912562574,0.6421384815415843,3,0
SCLC_POU2F3,ok,artifact,10,10,True,16889,16810,16810,79,0,12033,0.0012712445552000658,0.02130869825697848,0.4827956338534159,0,0
SCLC_YAP1,ok,artifact,2,2,True,16889,16810,16810,79,0,12639,0.054193722972216515,0.44487239513286964,0.9480900630013033,430,0
SKCM,ok,artifact,469,469,True,34571,29636,29636,4935,0,13095,0.0004496108089980308,0.0014179865947278178,0.003766989642277773,0,0
STAD,ok,artifact,414,413,False,34571,29636,29636,4935,0,14093,0.0013373483248963936,0.006638686561511611,0.04062843010370128,0,0
STAD_CIN,ok,artifact,221,221,True,34571,29636,29636,4935,0,14205,0.00045995776842829315,0.001370258632766089,0.0038214158016916557,0,0
STAD_EBV,ok,artifact,30,30,True,34571,29636,29636,4935,0,13608,0.0005696544007756474,0.0026538506084607325,0.28562985991858975,0,0
STAD_GS,ok,artifact,50,50,True,34571,29636,29636,4935,0,14673,0.0004981654369164132,0.001754125951835047,0.06929942730842623,0,0
STAD_MSI,ok,artifact,73,73,True,34571,29636,29636,4935,0,13685,0.00045778222415111916,0.0014387769157366609,0.0030205198766302434,0,0
TGCT,ok,artifact,154,154,True,34571,29636,29636,4935,0,14448,0.00044450397075549114,0.0014083853693229863,0.020634528579722915,0,0
THCA,ok,artifact,512,512,True,34571,29636,29636,4935,0,13720,0.00045906822739603134,0.0014009832435750704,0.005011421943729322,0,0
THYM,ok,artifact,119,119,True,34571,29636,29636,4935,0,13846,0.0004469213605112858,0.0013845239934461473,0.003349989205675924,0,0
T_ALL,ok,artifact,264,264,True,60279,52545,52545,7734,0,20606,0.00040094175545224556,0.001129256174458362,0.37896363453848625,0,0
UCEC,ok,artifact,181,181,True,34571,29636,29636,4935,0,13621,0.0004440251599978102,0.0013968089794953163,0.0036413122529784796,0,0
UCEC_CNH,ok,artifact,85,85,True,34571,29636,29636,4935,0,13739,0.0004407212528001535,0.0013619167361987492,0.003875834343107282,0,0
UCEC_CNL,ok,artifact,30,30,True,34571,29636,29636,4935,0,13969,0.0006122439404570832,0.003715854777306196,0.17050692275219098,0,0
UCEC_MSI,ok,artifact,41,41,True,34571,29636,29636,4935,0,13416,0.0004400988792598967,0.0013685298612991816,0.0036042781979633105,0,0
UCEC_POLE,ok,artifact,16,16,True,34571,29636,29636,4935,0,13309,0.0008723235312498684,0.011596410945670132,0.3562972780980884,0,0
UCS,ok,artifact,57,57,True,34571,29636,29636,4935,0,14160,0.0004346418275298728,0.0013446564068040681,0.0037932580694301776,0,0
UVM,ok,artifact,79,79,True,34571,29636,29636,4935,0,12297,0.000437893916852252,0.001459357926478628,0.003857264878377337,0,0
cSCC,ok,artifact,10,10,True,15263,15107,15107,156,0,13046,0.0010406268682727582,0.015115506483868285,0.4345661139575129,0,0
WILMS,ok,artifact,125,125,True,60279,52545,52545,7734,0,17986,0.0004110085020737385,0.0013682287781912347,0.003595880999068556,0,0
