Ensembl_Gene_ID,Symbol,n_9mers,n_specific_9mers
ENSG00000123576,ESX1,359,352
ENSG00000274391,TPTE,543,351
ENSG00000174016,TENT5D,381,349
ENSG00000137090,DMRT1,365,348
ENSG00000046774,MAGEC2,365,347
ENSG00000042813,ZPBP,343,343
ENSG00000152430,BOLL,343,341
ENSG00000124260,MAGEA10,361,340
ENSG00000189023,MAGEB16,348,337
ENSG00000124227,ANKRD60,337,336
ENSG00000171794,UTF1,333,330
ENSG00000186075,ZPBP2,330,330
ENSG00000182308,DCAF4L1,388,330
ENSG00000135248,GARIN1B,336,322
ENSG00000143006,DMRTB1,334,320
ENSG00000077800,FKBP6,319,319
ENSG00000006047,YBX2,356,311
ENSG00000214107,MAGEB1,339,310
ENSG00000161973,CCDC42,308,308
ENSG00000170748,RBMXL2,384,307
ENSG00000233803,TSPY4,306,306
ENSG00000181323,SPEM1,301,301
ENSG00000229549,TSPY8,300,300
ENSG00000258992,TSPY1,300,300
ENSG00000168757,TSPY2,300,300
ENSG00000228927,TSPY3,300,300
ENSG00000236424,TSPY10,300,300
ENSG00000176774,MAGEB18,335,299
ENSG00000176635,HORMAD2,299,299
ENSG00000150628,SPATA4,297,297
ENSG00000177689,MAGEB10,339,295
ENSG00000147183,CPXCR1,293,293
ENSG00000267978,MAGEA9B,307,293
ENSG00000123584,MAGEA9,307,293
ENSG00000196553,CCDC196,289,289
ENSG00000163114,PDHA2,380,289
ENSG00000147381,MAGEA4,309,288
ENSG00000156009,MAGEA8,310,287
ENSG00000118434,SPACA1,286,286
ENSG00000102021,LUZP4,284,284
ENSG00000163530,DPPA2,290,284
ENSG00000235631,RNF148,297,283
ENSG00000099399,MAGEB2,311,283
ENSG00000166069,TMCO5A,280,280
ENSG00000166796,LDHC,324,275
ENSG00000170950,PGK2,409,275
ENSG00000198681,MAGEA1,301,272
ENSG00000185264,TEX33,272,272
ENSG00000092345,DAZL,307,266
ENSG00000131126,TEX101,259,259
ENSG00000175877,TMEM270,257,257
ENSG00000126856,PRDM7,484,255
ENSG00000169551,CT55,256,255
ENSG00000106013,ANKRD7,255,252
ENSG00000124490,CRISP2,270,252
ENSG00000184650,ODF4,249,249
ENSG00000176988,FMR1NB,247,247
ENSG00000177947,ODF3,246,244
ENSG00000155087,ODF1,239,239
ENSG00000104901,DKKL1,234,234
ENSG00000268696,ZNF723,414,231
ENSG00000139351,SYCP3,228,228
ENSG00000141371,CHCT1,228,228
ENSG00000240021,TEX35,225,225
ENSG00000187772,LIN28B,250,223
ENSG00000118491,ZC2HC1B,214,211
ENSG00000161860,SYCE2,210,210
ENSG00000141316,SPACA3,207,207
ENSG00000183668,PSG9,418,206
ENSG00000221867,MAGEA3,306,205
ENSG00000170965,PLAC1,204,204
ENSG00000197172,MAGEA6,306,202
ENSG00000186118,TEX38,198,198
ENSG00000179407,DNAJB8,224,195
ENSG00000213401,MAGEA12,306,193
ENSG00000221826,PSG3,467,188
ENSG00000187475,H1-6,199,183
ENSG00000186451,SPATA12,182,182
ENSG00000165583,SSX5,221,178
ENSG00000176256,HMGB4,178,178
ENSG00000204941,PSG5,420,177
ENSG00000147378,FATE1,175,175
ENSG00000268447,SSX2B,215,174
ENSG00000241476,SSX2,215,174
ENSG00000268651,CTAG1A,172,172
ENSG00000172073,TEX37,172,172
ENSG00000184033,CTAG1B,172,172
ENSG00000132446,FTHL17,175,170
ENSG00000270806,C17orf50,166,166
ENSG00000166118,SPATA19,159,159
ENSG00000165584,SSX3,194,157
ENSG00000182459,TEX19,156,156
ENSG00000231924,PSG1,420,155
ENSG00000124467,PSG8,418,154
ENSG00000236446,CT47B1,291,152
ENSG00000189326,SPANXN4,148,148
ENSG00000180138,CSNK1A1L,329,142
ENSG00000203907,OOEP,141,141
ENSG00000126752,SSX1,180,140
ENSG00000189252,SPANXN3,133,133
ENSG00000122304,PRM2,132,132
ENSG00000185863,TMEM210,139,131
ENSG00000178279,TNP2,130,130
ENSG00000188425,NANOS2,130,129
ENSG00000068985,PAGE1,138,126
ENSG00000156269,NAA11,221,123
ENSG00000158639,PAGE5,122,122
ENSG00000268988,SPANXN2,119,119
ENSG00000230601,TEX48,112,112
ENSG00000203909,DPPA5,108,108
ENSG00000196862,RGPD4,1750,107
ENSG00000204019,CT83,105,105
ENSG00000204279,PAGE3,105,105
ENSG00000243130,PSG11,327,104
ENSG00000234068,PAGE2,103,103
ENSG00000238269,PAGE2B,103,103
ENSG00000153779,TGIF2LX,233,102
ENSG00000171405,XAGE5,100,100
ENSG00000171402,XAGE3,103,98
ENSG00000141437,SLC25A52,299,97
ENSG00000155622,XAGE2,103,96
ENSG00000227234,SPANXB1,95,95
ENSG00000275793,RIMBP3,1631,95
ENSG00000198021,SPANXA1,89,89
ENSG00000196406,SPANXD,89,89
ENSG00000203926,SPANXA2,89,89
ENSG00000198573,SPANXC,89,89
ENSG00000178257,PRM3,95,86
ENSG00000258713,C20orf141,157,78
ENSG00000204382,XAGE1B,73,73
ENSG00000204379,XAGE1A,73,73
ENSG00000146047,H2BC1,119,70
ENSG00000204363,SPANXN5,64,64
ENSG00000129862,VCY1B,117,61
ENSG00000129864,VCY,117,61
ENSG00000170516,COX7B2,73,57
ENSG00000183206,POTEC,532,57
ENSG00000242389,RBMY1E,480,54
ENSG00000204450,TRIM64,441,52
ENSG00000236761,CTAGE9,769,49
ENSG00000205642,VCX3B,142,49
ENSG00000244395,RBMY1D,480,45
ENSG00000175646,PRM1,43,43
ENSG00000182583,VCX,151,42
ENSG00000269586,CT45A10,181,41
ENSG00000234414,RBMY1A1,480,36
ENSG00000242875,RBMY1B,480,36
ENSG00000169059,VCX3A,136,34
ENSG00000213218,CSH2,209,33
ENSG00000271321,CTAGE6,769,27
ENSG00000277322,GOLGA6L6,558,27
ENSG00000215817,ZC3H11B,797,27
ENSG00000224659,GAGE12J,109,13
ENSG00000224902,GAGE12H,109,9
ENSG00000205777,GAGE1,109,9
ENSG00000189064,GAGE2A,108,9
ENSG00000250741,NT5C1B-RDH14,594,7
ENSG00000274274,GAGE13,109,5
ENSG00000242362,CT47A2,280,0
ENSG00000198033,TUBA3C,442,0
ENSG00000213030,CGB8,157,0
ENSG00000215269,GAGE12G,109,0
ENSG00000273696,CT45A7,181,0
ENSG00000271449,CT45A2,181,0
ENSG00000216649,GAGE12E,109,0
ENSG00000188120,DAZ1,337,0
ENSG00000226023,CT47A6,280,0
ENSG00000237957,CT47A5,280,0
ENSG00000187191,DAZ3,311,0
ENSG00000268606,MAGEA2,306,0
ENSG00000226685,CT47A12,280,0
ENSG00000268009,SSX4,180,0
ENSG00000226929,CT47A11,280,0
ENSG00000228517,CT47A7,280,0
ENSG00000230594,CT47A4,280,0
ENSG00000236126,CT47A3,280,0
ENSG00000169800,RBMY1F,473,0
ENSG00000236362,GAGE12F,109,0
ENSG00000236371,CT47A1,280,0
ENSG00000237671,GAGE12C,109,0
ENSG00000235699,CXorf51B,100,0
