cancer_code,n_samples,Ensembl_Gene_ID,Symbol,n_gt25,pct_gt25,n_gt50,pct_gt50,n_gt100,pct_gt100,n_gt200,pct_gt200
LUSC,498,MAGEA4,MAGEA4,211,42.37,174,34.94,128,25.7,79,15.86
LUSC,498,MAGEA3,MAGEA3,209,41.97,171,34.34,115,23.09,25,5.02
LUSC,498,MAGEA9,MAGEA9,191,38.35,115,23.09,26,5.22,1,0.2
LUSC,498,EGFL6,EGFL6,87,17.47,14,2.81,3,0.6,1,0.2
LUSC,498,MAGEA1,MAGEA1,79,15.86,32,6.43,3,0.6,0,0.0
LUSC,498,GAGE1,GAGE1,78,15.66,58,11.65,44,8.84,33,6.63
LUSC,498,XAGE1,XAGE1,72,14.46,66,13.25,52,10.44,44,8.84
LUSC,498,MAGEA2,MAGEA2,63,12.65,6,1.2,1,0.2,0,0.0
LUSC,498,CT45A1,CT45A1,57,11.45,20,4.02,5,1.0,1,0.2
LUSC,498,MAGEA12,MAGEA12,55,11.04,11,2.21,2,0.4,0,0.0
LUSC,498,PAGE2,PAGE2,53,10.64,40,8.03,29,5.82,20,4.02
LUSC,498,NY-ESO-1,NY-ESO-1,51,10.24,39,7.83,22,4.42,7,1.41
LUSC,498,MAGEB2,MAGEB2,44,8.84,22,4.42,5,1.0,1,0.2
LUSC,498,CT83,CT83,39,7.83,6,1.2,0,0.0,0,0.0
LUSC,498,MAGEA10,MAGEA10,36,7.23,9,1.81,1,0.2,0,0.0
LUSC,498,MAGEC2,MAGEC2,23,4.62,16,3.21,7,1.41,0,0.0
LUSC,498,CTCFL,CTCFL,22,4.42,11,2.21,2,0.4,0,0.0
LUSC,498,TSPY1,TSPY1,22,4.42,15,3.01,13,2.61,5,1.0
LUSC,498,TKTL1,TKTL1,15,3.01,6,1.2,4,0.8,2,0.4
LUSC,498,COX7B2,COX7B2,13,2.61,6,1.2,3,0.6,1,0.2
LUSC,498,FTHL17,FTHL17,13,2.61,4,0.8,0,0.0,0,0.0
LUSC,498,SPANXB1,SPANXB1,12,2.41,5,1.0,4,0.8,2,0.4
LUSC,498,SPANXA1,SPANXA1,10,2.01,9,1.81,3,0.6,2,0.4
LUSC,498,BRDT,BRDT,9,1.81,1,0.2,0,0.0,0,0.0
LUSC,498,DPEP3,DPEP3,9,1.81,7,1.41,1,0.2,0,0.0
LUSC,498,MAGEC1,MAGEC1,7,1.41,1,0.2,0,0.0,0,0.0
LUSC,498,ACTL8,ACTL8,6,1.2,2,0.4,1,0.2,0,0.0
LUSC,498,PAGE5,PAGE5,6,1.2,5,1.0,4,0.8,0,0.0
LUSC,498,PLAC1,PLAC1,6,1.2,0,0.0,0,0.0,0,0.0
LUSC,498,DAZ1,DAZ1,5,1.0,3,0.6,1,0.2,1,0.2
LUSC,498,SSX2,SSX2,5,1.0,2,0.4,0,0.0,0,0.0
LUSC,498,PAGE1,PAGE1,4,0.8,2,0.4,2,0.4,1,0.2
LUSC,498,YBX2,YBX2,4,0.8,0,0.0,0,0.0,0,0.0
LUSC,498,RBMY1A1,RBMY1A1,3,0.6,0,0.0,0,0.0,0,0.0
LUSC,498,SSX1,SSX1,3,0.6,0,0.0,0,0.0,0,0.0
LUSC,498,XAGE3,XAGE3,3,0.6,1,0.2,1,0.2,0,0.0
LUSC,498,CGB8,CGB8,2,0.4,1,0.2,0,0.0,0,0.0
LUSC,498,CXorf49,CXorf49,2,0.4,0,0.0,0,0.0,0,0.0
LUSC,498,DAZ3,DAZ3,2,0.4,0,0.0,0,0.0,0,0.0
LUSC,498,HORMAD1,HORMAD1,2,0.4,1,0.2,0,0.0,0,0.0
LUSC,498,MAGEA8,MAGEA8,2,0.4,0,0.0,0,0.0,0,0.0
LUSC,498,MAGEB1,MAGEB1,2,0.4,1,0.2,0,0.0,0,0.0
LUSC,498,PSG5,PSG5,2,0.4,2,0.4,1,0.2,0,0.0
LUSC,498,VCX,VCX,2,0.4,0,0.0,0,0.0,0,0.0
LUSC,498,VCY,VCY,2,0.4,1,0.2,0,0.0,0,0.0
LUSC,498,CATSPERD,CATSPERD,1,0.2,0,0.0,0,0.0,0,0.0
LUSC,498,CT55,CT55,1,0.2,0,0.0,0,0.0,0,0.0
LUSC,498,DPPA2,DPPA2,1,0.2,0,0.0,0,0.0,0,0.0
LUSC,498,ESX1,ESX1,1,0.2,0,0.0,0,0.0,0,0.0
LUSC,498,LIN28B,LIN28B,1,0.2,0,0.0,0,0.0,0,0.0
LUSC,498,MAGEB16,MAGEB16,1,0.2,0,0.0,0,0.0,0,0.0
LUSC,498,PSG1,PSG1,1,0.2,1,0.2,1,0.2,0,0.0
LUSC,498,PSG11,PSG11,1,0.2,0,0.0,0,0.0,0,0.0
LUSC,498,SSX4,SSX4,1,0.2,0,0.0,0,0.0,0,0.0
LUSC,498,SSX5,SSX5,1,0.2,0,0.0,0,0.0,0,0.0
LUSC,498,TEX101,TEX101,1,0.2,1,0.2,1,0.2,0,0.0
LUSC,498,TFDP3,TFDP3,1,0.2,0,0.0,0,0.0,0,0.0
LUSC,498,TRIML2,TRIML2,1,0.2,0,0.0,0,0.0,0,0.0
LUSC,498,TUBA3C,TUBA3C,1,0.2,1,0.2,0,0.0,0,0.0
LUSC,498,XAGE2,XAGE2,1,0.2,1,0.2,1,0.2,1,0.2
LUSC,498,XAGE5,XAGE5,1,0.2,0,0.0,0,0.0,0,0.0
MBL,125,PRAME,PRAME,34,27.2,21,16.8,17,13.6,10,8.0
MBL,125,MAGEA3,MAGEA3,7,5.6,5,4.0,2,1.6,0,0.0
MBL,125,MAGEA12,MAGEA12,3,2.4,1,0.8,0,0.0,0,0.0
MBL,125,MAGEA2,MAGEA2,2,1.6,1,0.8,0,0.0,0,0.0
MBL,125,NY-ESO-1,NY-ESO-1,2,1.6,1,0.8,1,0.8,1,0.8
MBL,125,SYCE2,SYCE2,2,1.6,0,0.0,0,0.0,0,0.0
MBL,125,XAGE1,XAGE1,2,1.6,2,1.6,2,1.6,2,1.6
MBL,125,MAGEA10,MAGEA10,1,0.8,0,0.0,0,0.0,0,0.0
MBL,125,MAGEA4,MAGEA4,1,0.8,1,0.8,0,0.0,0,0.0
MBL,125,MAGEA9,MAGEA9,1,0.8,0,0.0,0,0.0,0,0.0
MBL,125,MAGEC2,MAGEC2,1,0.8,0,0.0,0,0.0,0,0.0
MBL,125,SSX1,SSX1,1,0.8,0,0.0,0,0.0,0,0.0
MBL,125,SSX4,SSX4,1,0.8,1,0.8,1,0.8,1,0.8
MBL,125,SYCP1,SYCP1,1,0.8,0,0.0,0,0.0,0,0.0
MBL,125,YBX2,YBX2,1,0.8,0,0.0,0,0.0,0,0.0
MESO,87,CXorf49,CXorf49,7,8.05,2,2.3,0,0.0,0,0.0
MESO,87,EGFL6,EGFL6,7,8.05,2,2.3,1,1.15,0,0.0
MESO,87,SPANXB1,SPANXB1,6,6.9,1,1.15,1,1.15,0,0.0
MESO,87,GAGE1,GAGE1,4,4.6,3,3.45,2,2.3,2,2.3
MESO,87,PRAME,PRAME,3,3.45,2,2.3,1,1.15,0,0.0
MESO,87,PSG5,PSG5,3,3.45,2,2.3,1,1.15,1,1.15
MESO,87,XAGE1,XAGE1,3,3.45,2,2.3,1,1.15,0,0.0
MESO,87,XAGE2,XAGE2,3,3.45,2,2.3,1,1.15,0,0.0
MESO,87,CTAGE1,CTAGE1,1,1.15,0,0.0,0,0.0,0,0.0
MESO,87,MAGEA1,MAGEA1,1,1.15,0,0.0,0,0.0,0,0.0
MESO,87,MAGEA3,MAGEA3,1,1.15,1,1.15,0,0.0,0,0.0
MESO,87,MAGEB2,MAGEB2,1,1.15,1,1.15,0,0.0,0,0.0
MESO,87,PASD1,PASD1,1,1.15,1,1.15,0,0.0,0,0.0
MESO,87,PLAC1,PLAC1,1,1.15,0,0.0,0,0.0,0,0.0
MESO,87,TKTL1,TKTL1,1,1.15,1,1.15,1,1.15,1,1.15
MESO,87,TRIML2,TRIML2,1,1.15,0,0.0,0,0.0,0,0.0
MESO,87,YBX2,YBX2,1,1.15,0,0.0,0,0.0,0,0.0
NUTM,1,NUTM1,NUTM1,1,100.0,0,0.0,0,0.0,0,0.0
OS,262,MAGEA3,MAGEA3,98,37.4,73,27.86,34,12.98,9,3.44
OS,262,PRAME,PRAME,86,32.82,59,22.52,35,13.36,10,3.82
OS,262,PAGE2,PAGE2,85,32.44,67,25.57,55,20.99,41,15.65
OS,262,XAGE1,XAGE1,84,32.06,67,25.57,51,19.47,39,14.89
OS,262,EGFL6,EGFL6,78,29.77,53,20.23,33,12.6,17,6.49
OS,262,PAGE5,PAGE5,65,24.81,47,17.94,34,12.98,25,9.54
OS,262,SSX2,SSX2,41,15.65,26,9.92,11,4.2,5,1.91
OS,262,MAGEA12,MAGEA12,36,13.74,10,3.82,3,1.15,0,0.0
OS,262,SSX1,SSX1,36,13.74,19,7.25,8,3.05,3,1.15
OS,262,NY-ESO-1,NY-ESO-1,27,10.31,19,7.25,13,4.96,5,1.91
OS,262,GAGE1,GAGE1,26,9.92,17,6.49,13,4.96,7,2.67
OS,262,MAGEA2,MAGEA2,26,9.92,7,2.67,0,0.0,0,0.0
OS,262,MAGEA1,MAGEA1,19,7.25,5,1.91,0,0.0,0,0.0
OS,262,SPANXB1,SPANXB1,19,7.25,12,4.58,10,3.82,4,1.53
OS,262,MAGEB2,MAGEB2,15,5.73,10,3.82,0,0.0,0,0.0
OS,262,MAGEC2,MAGEC2,15,5.73,5,1.91,0,0.0,0,0.0
OS,262,DAZ1,DAZ1,14,5.34,9,3.44,3,1.15,3,1.15
OS,262,MAGEA10,MAGEA10,11,4.2,3,1.15,2,0.76,0,0.0
OS,262,VCX,VCX,11,4.2,5,1.91,1,0.38,0,0.0
OS,262,MAGEA4,MAGEA4,8,3.05,4,1.53,3,1.15,1,0.38
OS,262,MAGEA9,MAGEA9,8,3.05,6,2.29,2,0.76,0,0.0
OS,262,VCY,VCY,8,3.05,7,2.67,3,1.15,1,0.38
OS,262,CT45A1,CT45A1,7,2.67,4,1.53,0,0.0,0,0.0
OS,262,MAGEB1,MAGEB1,6,2.29,1,0.38,0,0.0,0,0.0
OS,262,MAGEC1,MAGEC1,5,1.91,0,0.0,0,0.0,0,0.0
OS,262,RBMY1A1,RBMY1A1,5,1.91,1,0.38,0,0.0,0,0.0
OS,262,SPANXA1,SPANXA1,5,1.91,1,0.38,1,0.38,1,0.38
OS,262,XAGE5,XAGE5,5,1.91,1,0.38,0,0.0,0,0.0
OS,262,PASD1,PASD1,4,1.53,0,0.0,0,0.0,0,0.0
OS,262,SSX4,SSX4,4,1.53,1,0.38,0,0.0,0,0.0
OS,262,ACTL8,ACTL8,3,1.15,2,0.76,1,0.38,1,0.38
OS,262,COX7B2,COX7B2,3,1.15,1,0.38,1,0.38,0,0.0
OS,262,LRRC36,LRRC36,3,1.15,1,0.38,0,0.0,0,0.0
OS,262,TSPY1,TSPY1,3,1.15,2,0.76,1,0.38,1,0.38
OS,262,TUBA3C,TUBA3C,3,1.15,1,0.38,0,0.0,0,0.0
OS,262,DPEP3,DPEP3,2,0.76,2,0.76,1,0.38,0,0.0
OS,262,FMR1NB,FMR1NB,2,0.76,0,0.0,0,0.0,0,0.0
OS,262,PSG5,PSG5,2,0.76,0,0.0,0,0.0,0,0.0
