gene,rho,p,n,med_log10tpm
AIRIM,-0.16472780114704044,0.35962408594484885,33,1.1659321809075738
RADIL,-0.16466810761031045,0.34451384882349095,35,0.17900620411296495
POT1,-0.16466810761031045,0.34451384882349095,35,1.114871016076021
ARHGAP18,-0.16466810761031045,0.34451384882349095,35,1.0366100542369776
PTCHD3P2,-0.16461037383058344,0.35221531217451235,34,0.012158362098956469
LRRFIP1P1,-0.1646007437361156,0.3522438755692186,34,0.2519975750807997
AGMO,-0.16457395077185882,0.34479362830940946,35,0.08119855627845289
PARM1,-0.16452784516771218,0.3449306778060146,35,0.809597890472252
TEDDM1,-0.16451924865734577,0.3449562347071251,35,0.0048727066688481245
SH3GL1P3,-0.16451165166732448,0.35250819379364184,34,0.3547521990481646
NRAP,-0.16447279397657857,0.3450943615676828,35,0.00864254152309504
JPH2,-0.16446923180292097,0.3451049546090712,35,0.23583638379628033
OR2B6,-0.16441915999438128,0.34525387696068693,35,0.022933310905034456
VSX1,-0.16441803480111064,0.3452572239319051,35,0.009508684565807233
DMXL1,-0.16438758272511397,0.3453478133928155,35,0.886279956609896
CUTC,-0.16438758272511397,0.3453478133928155,35,1.1584677354355017
TTC14,-0.16438758272511397,0.3453478133928155,35,1.0347149459994451
SIPA1L3,-0.16438758272511397,0.3453478133928155,35,1.1808126015195097
NUP133,-0.16432895953699098,0.34552224753970884,35,1.2605480150947233
HIGD1A,-0.16432895953699098,0.34552224753970884,35,1.9306910966932944
BANP,-0.164188687271061,0.34593984704556907,35,1.0852466469607656
ZNRF2P1,-0.16415051009960713,0.3535808517246331,34,0.046512887499869454
COL4A1,-0.16410705783991755,0.34618300417609477,35,1.8352935146259337
TMEM176A,-0.16410705783991755,0.34618300417609477,35,1.7444430665749975
RAD23BP1,-0.16406948134608473,0.35382179182536627,34,0.0
RCOR2,-0.16396679539731931,0.3466010592699841,35,0.5031335710473267
SCML1,-0.16396679539731931,0.3466010592699841,35,0.7237913200728345
BAX,-0.16390814273920098,0.3467759655774646,35,2.139128234896057
ZNF92,-0.16390814273920098,0.3467759655774646,35,0.7435946555148987
PABPC1P4,-0.16389951528902746,0.35432750908452093,34,0.11293490118717614
LGALS14,-0.16383604079967923,0.3469910519862029,35,0.0
NGRN,-0.1638265329547211,0.3470194207629729,35,1.7576071797204438
LRRC69,-0.1638265329547211,0.3470194207629729,35,0.22170028238794687
CDK11A,-0.1638265329547211,0.3470194207629729,35,1.3594461876433535
SIPA1,-0.1638265329547211,0.3470194207629729,35,1.5744217255621176
HAGHL,-0.1638265329547211,0.3470194207629729,35,0.8968236734561894
PIK3R1,-0.163767870473271,0.3471944844997415,35,1.0871616093576615
CDKL4,-0.1637423199477242,0.34727075050578005,35,0.01843834530396749
ATP5PF,-0.16372336333516824,0.3626017255134572,33,2.3451531764921136
NUTM2HP,-0.16369567722798334,0.3549345821480803,34,0.0052056082231808146
CERS2,-0.16368627051212287,0.34743808860275494,35,2.1453062559783564
CBX3,-0.16368627051212287,0.34743808860275494,35,2.176479460582381
FBXW11,-0.16368627051212287,0.34743808860275494,35,1.2150879112138486
SLC45A1,-0.163627598207341,0.34761330978972366,35,0.24056838719084228
CPTP,-0.16359344709987897,0.3552392804401287,34,1.3539202674680761
FRMD6-AS2,-0.16357394755167803,0.35529741695314326,34,0.0
UGT1A10,-0.1635608445454529,0.3478127306179464,35,0.041208268260550546
TRAPPC14,-0.16355595703318954,0.3630994215074813,33,1.2305111487645546
SIK3,-0.16354600806952466,0.3478570627366183,35,1.0243009506458067
MEF2D,-0.16354600806952466,0.3478570627366183,35,1.2828136631400717
MYLK2,-0.16354600806952466,0.3478570627366183,35,0.07842527799324683
MTIF2,-0.16354600806952466,0.3478570627366183,35,1.3553182611254802
RASA4CP,-0.1635294232283027,0.3554301844766708,34,0.5200902529859818
SNORD3A,-0.1634404130053047,0.35569569428361864,34,2.0445179408373653
PSPH,-0.16340574562692645,0.3482763431114469,35,1.1519448712828817
CNTN2,-0.16340574562692645,0.3482763431114469,35,0.016393118456538562
USP35,-0.16334705367548102,0.34845187926083016,35,0.628601426884117
CLEC14A,-0.16334705367548102,0.34845187926083016,35,0.846825511494592
CDX1,-0.16334705367548102,0.34845187926083016,35,0.08577099824969944
SNRPGP15,-0.16329985454805704,0.3561152105180751,34,0.38673469958910656
TAL2,-0.16329979346802828,0.34859326426224696,35,0.03547001730685831
GTF2F2,-0.16326548318432824,0.3486959296737186,35,1.2425328317664652
KCNJ11,-0.16326548318432824,0.3486959296737186,35,0.43767051211718183
SDCBP,-0.16326548318432824,0.3486959296737186,35,2.0984394451770334
H2BC26,-0.16322114442923216,0.36409603202546936,33,0.1190149144027446
RGS4,-0.163206781409551,0.3488716233349543,35,0.46449804247287335
COMMD3,-0.163206781409551,0.3488716233349543,35,1.6960383372820687
UTP4,-0.1631343448161562,0.3566095779217953,34,1.5146047825290898
