cancer_code,n_samples,Ensembl_Gene_ID,Symbol,n_gt25,pct_gt25,n_gt50,pct_gt50,n_p90,pct_p90,n_p95,pct_p95
UCEC_CNH,85,ENSG00000204379,XAGE1A/B,7,8.24,7,8.24,7,8.24,7,8.24
UCEC_CNH,85,ENSG00000234068,PAGE2,7,8.24,7,8.24,9,10.59,8,9.41
UCEC_CNH,85,ENSG00000007350,TKTL1,6,7.06,3,3.53,7,8.24,3,3.53
UCEC_CNH,85,ENSG00000124092,CTCFL,6,7.06,1,1.18,10,11.76,1,1.18
UCEC_CNH,85,ENSG00000184033,CTAG1A/B,6,7.06,6,7.06,7,8.24,6,7.06
UCEC_CNH,85,ENSG00000189064,GAGE2A,6,7.06,5,5.88,8,9.41,5,5.88
UCEC_CNH,85,ENSG00000238269,PAGE2B,6,7.06,2,2.35,6,7.06,4,4.71
UCEC_CNH,85,ENSG00000117148,ACTL8,5,5.88,3,3.53,7,8.24,4,4.71
UCEC_CNH,85,ENSG00000205777,GAGE1,5,5.88,5,5.88,6,7.06,5,5.88
UCEC_CNH,85,ENSG00000274274,GAGE13,5,5.88,5,5.88,6,7.06,6,7.06
UCEC_CNH,85,ENSG00000269586,CT45A10,4,4.71,1,1.18,4,4.71,3,3.53
UCEC_CNH,85,ENSG00000158639,PAGE5,3,3.53,2,2.35,4,4.71,2,2.35
UCEC_CNH,85,ENSG00000170516,COX7B2,3,3.53,0,0.0,4,4.71,1,1.18
UCEC_CNH,85,ENSG00000197172,MAGEA6,3,3.53,2,2.35,8,9.41,3,3.53
UCEC_CNH,85,ENSG00000221867,MAGEA3,3,3.53,2,2.35,5,5.88,3,3.53
UCEC_CNH,85,ENSG00000224659,GAGE12J,3,3.53,1,1.18,3,3.53,2,2.35
UCEC_CNH,85,ENSG00000268009,SSX4/SSX4B,3,3.53,2,2.35,5,5.88,2,2.35
UCEC_CNH,85,ENSG00000099399,MAGEB2,2,2.35,1,1.18,3,3.53,1,1.18
UCEC_CNH,85,ENSG00000124260,MAGEA10,2,2.35,0,0.0,3,3.53,0,0.0
UCEC_CNH,85,ENSG00000156009,MAGEA8,2,2.35,1,1.18,4,4.71,0,0.0
UCEC_CNH,85,ENSG00000170965,PLAC1,2,2.35,0,0.0,3,3.53,0,0.0
UCEC_CNH,85,ENSG00000171402,XAGE3,2,2.35,1,1.18,2,2.35,1,1.18
UCEC_CNH,85,ENSG00000198681,MAGEA1,2,2.35,0,0.0,3,3.53,0,0.0
UCEC_CNH,85,ENSG00000215113,CXorf49/CXorf49B,2,2.35,1,1.18,3,3.53,1,1.18
UCEC_CNH,85,ENSG00000216649,GAGE12C/D/E,2,2.35,2,2.35,3,3.53,2,2.35
UCEC_CNH,85,ENSG00000224902,GAGE12H,2,2.35,2,2.35,2,2.35,2,2.35
UCEC_CNH,85,ENSG00000124490,CRISP2,1,1.18,0,0.0,1,1.18,0,0.0
