cancer_code,cohort,n_samples,cta,q1,median,q3
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,MAGEA3,0.0,0.0,0.062084
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,MAGEA4,0.0,0.0,0.045647
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,MAGEA6,0.0,0.0,0.047601
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,MAGEA9B,0.0,0.0,0.047202
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,MAGEC1,0.0,0.011423,0.047255
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,MAGEC2,0.0,0.0,0.033434
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,PAGE2,0.0,0.0,0.119766
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,PAGE2B,0.0,0.070089,0.195666
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,PAGE5,0.0,0.0,0.141606
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,PHF7,4.021995,6.215995,9.11415
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,PIWIL1,0.0,0.012279,0.041653
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,PRAME,0.080817,0.35915,16.9585
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,RNF148,0.074532,0.171186,0.323621
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,SMC1B,0.050167,0.14385,0.585106
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,SPATA32,0.06788,0.12661,0.215449
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,SPATA4,0.110089,0.383525,1.075892
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,SSX1,0.0,0.0,0.0
BRCA,Breast Invasive Carcinoma [BRCA] (n=1099),1099,STKLD1,1.164551,1.751588,2.535425
