cohort,DPPA5,PRAME,CTAG1B,CTAG1A,XAGE1A,XAGE1B,PAGE5,EGFL6,FKBP6,MAGEA3,MAGEA6,OOEP,RGPD4,MAGEA4,CT47B1,TRIML2,UTF1,SPATA4,GOLGA6L6,SSX1,MAGEA2,MAGEA12,MAGEA10,LRRC36,CTAGE9,MAGEB2,SYCP3,RIMBP3,ZPBP,DPPA2
Lung Adenocarcinoma — STK11/KEAP1 LUAD [LUAD_STK11] (n=142),0.0,26.922623,0.076145,0.056529,344.88388,258.802757,0.202026,11.99745,0.092654,21.555307,11.106319,0.530074,0.012341,0.366312,0.0,0.044954,0.028074,0.366516,0.011334,0.033751,4.754819,1.452744,0.101967,2.296184,0.048919,0.097394,0.354075,0.346402,0.0,0.0
Synovial Sarcoma [SARC_SYN] (n=50),0.131717,320.737837,74.017423,245.142064,0.174051,0.291205,0.0,2.073084,0.159251,0.0,0.032662,3.944374,0.01379,39.44149,0.0,0.065,2.14738,0.188063,0.0,77.763608,0.0,0.0,0.284648,1.340661,0.00889,0.0,0.434609,0.604857,0.031051,0.0
Midgut / Small Bowel Carcinoid [MID_NET] (n=81),0.0,0.286868,0.916334,,,,0.07352,0.211233,283.266997,0.100354,0.161363,63.451022,14.248309,0.0,0.0,0.02884,0.166785,1.313379,0.067019,0.154128,0.0,0.065335,0.037951,0.239637,26.238045,0.116122,2.891491,10.229966,0.012307,0.0
Pancreatic Neuroendocrine Tumor [PANNET] (n=113),0.0,0.189483,0.56568,,,,0.051581,0.931942,273.002658,0.869659,0.475929,84.982846,10.216056,0.0,0.0,0.016321,0.316609,2.882728,0.024402,0.12883,0.112118,0.072919,0.0,1.882065,28.985426,0.101267,3.54446,5.111912,0.021957,0.0
Large-Cell Neuroendocrine Carcinoma Lung [LUNG_NET_LCNEC] (n=69),0.0,0.0,37.79157,36.844528,11.022216,4.30882,0.0,2.836712,0.13565,265.536269,232.650948,0.139425,1.162192,7.18558,0.0,0.0,0.0,0.503961,0.047024,0.215898,77.517965,74.790696,13.374957,0.39439,19.81747,1.472263,1.22609,2.81893,0.0012,0.0
Embryonal Rhabdomyosarcoma [RMS_ERMS] (n=95),0.0,248.527546,0.046663,0.023197,0.09271,0.276711,0.0,5.211095,0.101803,6.154532,2.211275,0.155146,0.129936,0.256121,0.0,0.05502,0.035319,0.20988,0.0,0.0,21.581149,10.827542,0.783641,0.667604,0.0,0.0,0.759628,0.962724,0.0,0.0
Angiosarcoma [SARC_ANGIO] (n=20),0.0,237.249487,0.059577,0.059577,0.0,0.0,0.02519,6.715768,0.098289,54.362244,46.55641,0.631377,0.0,0.463011,0.0,0.107581,0.0,0.0,0.0,0.0,30.501211,29.503252,0.0,1.431839,0.0,7.259469,1.068421,0.158653,0.0,0.0
Uterine Carcinosarcoma [UCS] (n=57),0.0,235.024099,0.451368,0.230986,0.579145,0.62804,0.368826,34.807542,0.160342,0.417657,0.278623,0.460255,0.04708,8.655993,0.0,0.025329,0.048226,0.320062,0.0,0.067726,0.124203,0.081771,0.717101,1.24604,0.025283,0.194208,0.659361,0.360898,0.03461,0.04798
Rhabdoid Tumor [RT] (n=63),0.109567,233.844735,0.0,0.0,0.0,0.0,0.06172,21.077244,0.07526,0.0,0.0,0.340518,0.292295,10.761779,0.0,0.344856,1.149179,0.299713,0.010086,0.035964,0.0,0.0,0.005658,0.304936,0.041476,0.024026,0.487983,0.181356,0.020256,0.622008
Uterine Corpus Endometrial Carcinoma [UCEC] (n=181),0.0,233.481669,0.033214,0.02286,0.023509,0.070312,0.104441,11.546543,0.155853,0.069555,0.070626,0.451763,0.018204,0.220482,0.0,0.036252,0.024945,0.502846,0.0,0.0,0.079455,0.033629,0.036435,1.497305,0.047354,0.023559,0.570619,0.170968,0.010994,0.218773
Rectal Neuroendocrine Tumor [REC_NET] (n=18),0.0,0.534735,1.391676,,,,0.058813,0.099066,164.396447,2.779569,6.363726,159.618086,7.603792,0.0,0.0,0.009816,0.14053,1.18342,0.012598,0.108471,0.238023,0.214869,0.118462,1.432038,11.161715,0.044133,4.357697,5.838556,0.031291,0.001502
Pleomorphic Liposarcoma [SARC_PLEOLPS] (n=20),,8.654089,8.880215,8.880215,9.145587,9.145587,,47.161224,14.45865,7.075822,7.075822,,127.378964,3.158412,,,4.865255,,,12.606118,3.16951,4.987263,8.899989,17.512987,26.948046,5.236182,,,8.260469,
Lung Squamous Cell Carcinoma [LUSC] (n=498),0.0,62.28552,0.250644,0.22945,2.448759,3.871583,0.196151,24.479573,0.260755,56.13627,52.780068,1.308478,0.022392,125.15676,0.0,0.103841,0.023346,0.260387,0.033624,0.035635,11.015597,2.85471,4.488736,1.047721,0.022384,2.036822,0.27712,0.447127,0.033644,0.392013
Medullary Thyroid Carcinoma [MTC] (n=52),32.656686,4.16481,,17.38568,4.595379,,23.40074,45.775433,38.572227,,3.780949,15.686067,,6.896277,117.14076,5.706138,42.46972,90.837131,80.517149,23.427673,,4.31108,4.964043,68.570737,60.974248,8.11814,30.61933,51.817419,51.622876,19.087501
Adenoid Cystic Carcinoma [ADCC] (n=123),0.0,97.943225,0.897952,9.524648,0.261591,0.070259,0.076918,5.773304,0.200365,0.211847,0.561717,0.6598,0.023096,7.156079,0.0,0.040205,0.023005,0.322657,0.0,0.012024,0.230802,0.020982,0.014109,0.751336,0.084764,0.0,0.091764,0.275116,0.111291,0.0
Well-Differentiated Liposarcoma [SARC_WDLPS] (n=52),,8.821094,8.07409,8.07409,8.76204,8.76204,,30.159854,14.481604,6.743445,6.743445,,95.275341,3.001108,,,4.943826,,,10.811457,3.026477,4.132004,8.846204,17.776909,24.378332,5.061992,,,8.487908,
Ovarian Serous Cystadenocarcinoma [OV] (n=426),0.0,93.094241,0.146506,0.113296,0.02139,0.054023,0.076148,22.184309,0.083092,0.043802,0.038072,0.175579,0.023896,7.214031,0.0,0.013619,0.253425,0.463335,0.0,0.152092,0.07529,0.02502,0.095735,1.276571,0.029775,0.015103,0.754128,0.176715,0.134249,0.163816
Acute Myeloid Leukemia — Acute Promyelocytic Leukemia [LAML_APL] (n=20),0.0,59.818016,0.0,0.0,0.03261,0.021647,0.693449,0.038039,0.087216,0.0,0.0,0.251711,0.769009,0.0,0.0,0.0,0.388059,0.029422,0.0,0.0,0.0,0.0,0.0,0.372923,0.046542,0.0,1.465233,2.39852,0.005815,0.0
Acute Myeloid Leukemia — AML ELN2017 Favorable [LAML_ELN_Fav] (n=238),0.0,8.791346,0.0,0.0,0.0,0.0,0.0,0.055505,0.201629,0.0,0.0,0.249779,0.941267,0.0,0.0,0.0,1.52019,0.047611,0.012796,0.0,0.0,0.0,0.0,1.010007,0.097404,0.0,1.847035,1.906071,0.105307,0.086997
