cohort,PRAME,XAGE1A,XAGE1B,CTAG1A,RGPD4,TUBA3C,CTAG1B,DPPA5,MAGEA3,EGFL6,MAGEA6,TRIML2,UTF1,SSX1,CT47B1,SPATA4,SYCP3,GOLGA6L6,CTAGE9,ZPBP,CT47A11,LRRC36,PRM3,RIMBP3,DPEP3,SPACA3,PHF7,DKKL1,TEX14,YBX2
Angiosarcoma [SARC_ANGIO] (n=20),192.589052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.753654,3.745398,0.74265,0.0,0.0,0.0,0.0,0.0,0.361555,0.0,0.0,0.0,0.0,0.457799,0.0,0.046849,0.325959,0.0,7.653411,0.618006,0.279412,0.647106
Uterine Corpus Endometrial Carcinoma [UCEC] (n=181),145.329518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.620413,0.0,0.0,0.0,0.0,0.0,0.156352,0.279156,0.0,0.0,0.0,0.0,0.674945,0.0,0.083695,0.021785,0.0,3.147613,1.574305,0.240915,5.277266
Neuroblastoma [NBL] (n=155),230.064656,0.0,0.0,0.0,0.655682,0.04996,0.0,0.0,0.069867,1.466069,0.19689,0.0,0.085847,0.0,0.0,0.4556,0.412398,0.0,0.0,0.026444,0.0,2.88177,0.0,0.415548,0.393503,0.089007,7.278005,0.256981,4.37142,0.181502
Uterine Carcinosarcoma [UCS] (n=57),161.460209,0.046793,0.173953,0.024297,0.011781,0.0,0.031605,0.0,0.023002,13.200423,0.034611,0.0,0.0,0.0,0.0,0.168794,0.330367,0.0,0.0,0.0,0.0,0.779923,0.0,0.191508,0.013096,0.149684,2.402846,5.534045,0.624821,7.018808
Adenoid Cystic Carcinoma [ADCC] (n=123),63.396273,0.0,0.0,0.0,0.010678,0.0,0.0,0.0,0.0,0.874114,0.0,0.008955,0.005364,0.0,0.0,0.184489,0.042449,0.0,0.029249,0.054135,0.0,0.350365,0.0,0.159356,0.038403,0.037538,5.911706,2.927845,1.137378,3.244069
Skin Cutaneous Melanoma [SKCM] (n=469),316.359134,0.423893,0.352549,0.025773,0.0,0.0,0.029496,0.0,25.196118,0.573256,16.234008,0.057209,0.0,0.552028,0.0,0.038794,0.167693,0.0,0.0,0.0,0.0,0.479235,0.0,0.293954,0.059121,0.159117,5.496442,0.830014,0.377735,0.50397
Rhabdoid Tumor [RT] (n=63),117.518348,0.0,0.0,0.0,0.203977,0.020415,0.0,0.0,0.0,3.41844,0.0,0.084239,0.343026,0.0,0.0,0.16086,0.275067,0.0,0.015265,0.0,0.0,0.164288,0.0,0.078746,0.147212,0.037981,2.974452,10.02006,0.281346,4.92455
Neuroblastoma MYCN-non-amplified [NBL_MYCNnonamp] (n=122),184.608447,0.0,0.0,0.0,0.699141,0.076098,0.0,0.0,0.066783,1.481333,0.247623,0.0,0.094432,0.0,0.0,0.501446,0.439316,0.0,0.019214,0.039785,0.0,3.29134,0.0,0.371993,0.422244,0.086199,7.369977,0.255174,6.451501,0.186017
Wilms Tumor / Nephroblastoma [WILMS] (n=125),247.247581,0.0,0.0,0.0,0.403991,0.0,0.0,0.090833,0.0,4.504954,0.0,0.015074,0.523668,0.0,0.0,0.479471,0.384524,0.0,0.181814,0.10779,0.0,0.799207,0.917925,0.234511,0.079526,0.316674,2.850367,12.12029,0.543599,7.268138
Ovarian Serous Cystadenocarcinoma [OV] (n=426),56.118423,0.0,0.0,0.013015,0.0,0.0,0.022636,0.0,0.0,11.655781,0.0,0.0,0.114293,0.023014,0.0,0.177135,0.385023,0.0,0.0,0.056741,0.0,0.681976,0.0,0.091357,0.152178,0.087723,2.767868,1.441476,0.231077,7.633068
Small Cell Lung Cancer — SCLC POU2F3-dominant [SCLC_POU2F3] (n=10),232.100835,,,0.0,0.105393,0.0,,0.025789,0.191114,12.994798,0.421374,0.0,0.013828,0.0,0.0,0.04991,1.678344,0.0,0.005679,0.0,0.0,0.888385,0.0,0.028455,0.070914,0.068023,4.390256,1.584437,0.496206,2.609273
Uveal Melanoma [UVM] (n=79),6.87762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028324,0.0,0.02912,0.0,0.487132,0.0,0.20615,0.204308,0.0,0.0,0.0,0.0,0.070426,0.0,0.180986,0.070766,0.047081,3.592745,1.129348,0.238597,0.854239
Alveolar Rhabdomyosarcoma [SARC_RMS_ARMS] (n=73),2.163592,2.183497,9.616317,0.024547,0.021013,0.0,0.02633,0.0,0.012636,0.535731,0.025272,0.0,0.0,0.0,0.0,0.131679,0.270503,0.0,0.0,0.0,0.0,0.733794,0.0,1.271287,0.065873,0.029262,5.332467,1.145345,21.168193,0.114662
Breast Invasive Carcinoma — HER2-enriched [BRCA_HER2] (n=77),1.634875,0.0,0.0,0.012604,0.009927,0.0,0.019524,0.0,0.021421,3.543102,0.0,0.043242,0.0,0.0,0.0,0.089692,0.089591,0.0,0.024328,0.0,0.0,0.393437,0.0,0.247855,0.029645,0.0,3.797959,0.894787,0.295357,6.362458
Adrenocortical Carcinoma [ACC] (n=77),0.277415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027791,0.0,0.110346,0.0,0.0,0.0,0.302036,0.219024,0.0,0.0,0.0,0.0,0.517193,0.0,0.238813,0.026383,0.0,4.829074,0.371323,0.168425,0.283245
Medulloblastoma SHH [MBL_SHH] (n=25),0.267067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027963,0.028439,0.0,0.0,0.0,0.0,0.064588,0.0,0.0,0.0,0.0,0.376236,0.449421,0.018567,0.009231
Mesothelioma [MESO] (n=87),0.05902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.320137,0.0,0.160739,0.064829,0.0,0.0,0.140171,0.183731,0.0,0.0,0.0,0.0,0.469529,0.0,0.231365,0.056241,0.311611,1.879203,0.471613,0.235287,0.595866
Liposarcoma (Unspecified / Aggregate) [SARC_LPS_UNSPEC] (n=92),0.123378,0.0,0.0,0.0,0.004633,0.0,0.0,0.0,0.0,3.00746,0.0,0.031206,0.021559,0.0,0.0,0.033512,0.388948,0.0,0.0,0.0,0.0,0.903375,0.0,0.323664,0.115311,0.047635,4.730983,0.861987,0.23188,0.200632
