cohort,PRAME,XAGE1A,XAGE1B,EGFL6,MAGEA3,MAGEA6,CTAG1A,CTAG1B,PAGE5,DPPA5,RGPD4,MAGEA4,UTF1,MAGEA12,MAGEA10,FATE1,LRRC36,SYCP3,CT47B1,TRIML2,SPATA4,GOLGA6L6,MAGEA2,SSX1,CTAGE9,MAGEB2,RIMBP3,PRM3,ZPBP,YBX2
Uterine Carcinosarcoma [UCS] (n=57),225.183831,0.555959,0.603841,33.386496,0.403932,0.268478,0.223343,0.433044,0.354563,0.0,0.045124,8.254059,0.046393,0.078558,0.685789,1.431639,1.191632,0.637693,0.0,0.02437,0.305552,0.0,0.119161,0.0649,0.024225,0.186725,0.347181,0.0,0.033072,11.768175
Small Cell Lung Cancer — SCLC POU2F3-dominant [SCLC_POU2F3] (n=10),712.097901,,,27.000002,8.726367,3.860629,0.0,,0.086775,0.067906,0.154023,0.521959,0.043263,0.696715,0.067338,1.298286,1.566989,2.765684,0.0,0.0,0.132394,0.007161,0.0,0.0,0.022621,0.02945,0.054672,0.0,0.040262,3.221324
Wilms Tumor / Nephroblastoma [WILMS] (n=125),469.660297,0.0,0.0,14.32118,0.0,0.0,0.0,0.0,0.093694,0.244864,0.651969,0.0,2.059318,0.031369,0.022575,3.476639,1.200706,0.631133,0.0,0.057725,0.837267,0.011864,0.0,0.087998,0.335143,0.032876,0.433263,1.632871,0.235033,12.530048
Neuroblastoma MYCN-non-amplified [NBL_MYCNnonamp] (n=122),569.424137,0.162507,0.194503,3.814952,1.500276,1.660214,0.171211,0.067737,306.929606,0.122939,1.275377,5.053853,0.269877,1.51893,73.633882,0.974655,6.414719,0.750178,0.0,0.054506,0.970555,0.017748,0.046989,0.205847,0.052509,0.412169,0.744936,0.0,0.116441,1.199967
Rhabdoid Tumor [RT] (n=63),233.844735,0.0,0.0,21.077244,0.0,0.0,0.0,0.0,0.06172,0.109567,0.292295,10.761779,1.149179,0.0,0.005658,0.962461,0.304936,0.487983,0.0,0.344856,0.299713,0.010086,0.0,0.035964,0.041476,0.024026,0.181356,0.122653,0.020256,8.072878
Neuroblastoma MYCN-amplified [NBL_MYCNamp] (n=33),605.421205,0.0,0.043159,4.173855,1.484308,1.587812,0.0,0.0,98.418799,0.0,0.870817,1.164799,0.152092,2.463367,1.430025,1.673012,2.804276,0.604388,0.0,0.031,0.538451,0.0,0.077145,0.065257,0.0,0.144002,0.959589,0.0,0.026109,0.430789
Acute Myeloid Leukemia — Acute Promyelocytic Leukemia [LAML_APL] (n=20),59.818016,0.03261,0.021647,0.038039,0.0,0.0,0.0,0.0,0.693449,0.0,0.769009,0.0,0.388059,0.0,0.0,0.0,0.372923,1.465233,0.0,0.0,0.029422,0.0,0.0,0.0,0.046542,0.0,2.39852,0.0,0.005815,0.134561
Lung Squamous Cell Carcinoma [LUSC] (n=498),60.017147,2.361701,3.728178,23.754385,54.274658,51.05636,0.220917,0.241474,0.189851,0.0,0.021652,121.397472,0.022553,2.759213,4.328098,0.493725,1.008372,0.266856,0.0,0.100375,0.251879,0.032399,10.578002,0.034418,0.021647,1.960513,0.43337,0.0,0.032525,4.120945
Uterine Corpus Endometrial Carcinoma [UCEC] (n=181),223.834127,0.022589,0.067019,11.100248,0.066634,0.067393,0.021879,0.031982,0.100685,0.0,0.017331,0.211578,0.023935,0.032286,0.034892,0.244366,1.441024,0.549665,0.0,0.034576,0.47857,0.0,0.076309,0.0,0.045574,0.022617,0.16488,0.0,0.010578,13.648953
Ovarian Serous Cystadenocarcinoma [OV] (n=426),89.221469,0.020499,0.051716,21.277159,0.041932,0.036523,0.108251,0.14059,0.073045,0.0,0.022976,6.918451,0.243828,0.024037,0.092353,0.21982,1.222881,0.722924,0.0,0.013012,0.44301,0.0,0.07243,0.145911,0.028659,0.014483,0.168922,0.0,0.128979,12.781066
Skin Cutaneous Melanoma [SKCM] (n=469),498.480419,102.4223,46.316106,1.234412,77.723324,67.461873,0.32978,0.32978,19.298569,0.0,0.011378,0.785853,0.027244,43.394818,3.13665,0.508232,0.995125,0.430216,0.0,0.203734,0.130079,0.0,28.190636,4.519956,0.0,0.269816,0.59615,0.0,0.0,1.488552
Embryonal Rhabdomyosarcoma [SARC_RMS_ERMS] (n=95),239.113478,0.089483,0.266513,5.052424,5.898816,2.124592,0.022315,0.044665,0.0,0.0,0.124473,0.245831,0.033931,10.512596,0.754371,2.278787,0.640324,0.729804,0.0,0.053355,0.201623,0.0,20.749631,0.0,0.0,0.0,0.925938,0.0,0.0,1.623322
Neuroblastoma [NBL] (n=155),575.295125,0.125454,0.144449,3.960926,1.523716,1.655933,0.105829,0.032267,240.770828,0.114309,1.189227,2.462039,0.241836,1.664584,44.113803,1.061991,5.943781,0.707853,0.0,0.04473,0.867995,0.004526,0.052718,0.148113,0.044875,0.236943,0.772719,0.0,0.095781,0.971445
Medulloblastoma SHH [MBL_SHH] (n=25),4.817774,0.0,0.0,0.012108,0.012248,0.023554,0.012364,0.060066,0.0,0.0,0.0,0.0,0.0,0.034809,0.0,0.030993,0.339079,0.166621,0.0,0.0,0.129545,0.0,0.034995,0.0,0.0,0.0,0.012989,0.0,0.0,0.114533
Alveolar Rhabdomyosarcoma [SARC_RMS_ARMS] (n=73),13.0744,47.349804,27.807463,1.401049,0.302499,0.323089,0.389191,0.334004,0.0,0.0,0.039939,0.0,0.012128,0.40166,1.028404,0.920948,1.155494,0.663385,0.0,0.033171,0.228017,0.0,2.823866,0.012128,0.0,0.0,2.298662,0.0,0.0,0.265354
Adrenocortical Carcinoma [ACC] (n=77),8.969407,0.057368,0.058787,0.133691,0.0,0.026845,0.011717,0.013489,0.13624,0.0,0.0,0.0,0.043625,0.0503,0.0,72.848581,1.006916,1.720155,0.0,0.302164,1.103788,0.0,0.017217,0.0,0.02807,0.040262,0.497608,0.0,0.033828,0.893162
Breast Invasive Carcinoma — HER2-enriched [BRCA_HER2] (n=77),12.950365,0.119835,0.390574,7.189363,1.824527,1.272119,0.056081,0.070374,0.246498,0.0,0.023667,0.403239,0.021501,0.806281,0.011998,0.326268,0.712168,0.187975,0.0,0.16358,0.252237,0.0,0.16972,0.080508,0.108171,0.011783,0.417716,0.0,0.026572,10.795187
Rectum Adenocarcinoma [READ] (n=93),2.367622,0.022418,0.105592,3.594858,0.191374,0.130278,0.011386,0.022744,0.13802,0.0,0.012383,0.193418,0.022327,0.048024,0.013145,0.292689,4.424064,0.245993,0.0,0.0,0.025657,0.011329,0.088679,0.0,0.055965,0.011825,0.174282,0.0,0.038314,19.704553
