Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_99_pct_filter,filtered,biotype
SPANXA1,,,cancer-testis antigen,ENSG00000198021,CTpedia;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000370519,True,True,True,True,True,protein_coding
SPANXA2,,,cancer-testis antigen,ENSG00000203926,CTpedia;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000370518,True,True,True,True,True,protein_coding
SPANXB1,,,cancer-testis antigen,ENSG00000227234,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,False,False,testis,0.9785,0.9785,1.0,1.0,ENST00000449283,True,True,True,True,True,protein_coding
SPANXC,,,cancer-testis antigen,ENSG00000198573,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000358993,True,True,True,True,True,protein_coding
SPANXD,,,cancer-testis antigen,ENSG00000196406,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000370515,True,True,True,True,True,protein_coding
SPANXN1,,,cancer-testis antigen,ENSG00000203923,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000370493,True,True,True,True,True,protein_coding
SPANXN2,,,cancer-testis antigen,ENSG00000268988,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000598475,True,True,True,True,True,protein_coding
SPANXN3,,,cancer-testis antigen,ENSG00000189252,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.9734,0.9734,1.0,1.0,ENST00000370503,True,True,True,True,True,protein_coding
SPANXN4,,,cancer-testis antigen,ENSG00000189326,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000370504,True,True,True,True,True,protein_coding
SPANXN5,,,cancer-testis antigen,ENSG00000204363,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000375511,True,True,True,True,True,protein_coding
ODF1,,,cancer-testis antigen,ENSG00000155087,CTpedia;daSilva2017,True,False,Approved,True,False,testis,0.9915,0.9915,1.0,1.0,ENST00000285402,True,True,True,True,True,protein_coding
ODF3,CIMAP1A,,cancer-testis antigen,ENSG00000177947,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9579,0.9579,1.0,1.0,ENST00000325113,True,True,True,True,True,protein_coding
ODF4,,,cancer-testis antigen,ENSG00000184650,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000328248,True,True,True,True,True,protein_coding
ROPN1B,,,cancer-testis antigen,ENSG00000114547,CTpedia;CTexploreR_CTP;daSilva2017,False,False,Supported,False,False,epididymis; testis,0.6617,0.6617,0.7134,0.7134,ENST00000251776,False,False,False,False,False,protein_coding
SPAM1,,,cancer-testis antigen,ENSG00000106304,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9444,0.9444,1.0,1.0,ENST00000340011,True,True,True,True,True,protein_coding
SPATA4,,,cancer-testis antigen,ENSG00000150628,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.8028,0.8028,0.9063,0.9063,ENST00000280191,True,True,False,False,True,protein_coding
SPATA12,,,cancer-testis antigen,ENSG00000186451,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9005,0.9005,1.0,1.0,ENST00000334325,True,True,True,True,True,protein_coding
SPATA16,,,cancer-testis antigen,ENSG00000144962,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000351008,True,True,True,True,True,protein_coding
SPATA19,,,cancer-testis antigen,ENSG00000166118,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9909,0.9909,1.0,1.0,ENST00000299140,True,True,True,True,True,protein_coding
SPATA22,,,cancer-testis antigen,ENSG00000141255,CTpedia;CTexploreR_CTP;daSilva2017,no data,no data,no data,False,False,no data,0.9216,0.9217,0.9921,0.9921,ENST00000541913,True,True,True,True,True,protein_coding
SPATA31E1,,,cancer-testis antigen,ENSG00000177992,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000325643,True,True,True,True,True,protein_coding
SPATA31A1,,,cancer-testis antigen,ENSG00000204849,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000377647,True,True,True,True,True,protein_coding
SPATA31A3,,,cancer-testis antigen,ENSG00000275969,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000428649,True,True,True,True,True,protein_coding
SPATA31A5,,,cancer-testis antigen,ENSG00000276581,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000437823,True,True,True,True,True,protein_coding
SPATA31A6,,,cancer-testis antigen,ENSG00000185775,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000332857,True,True,True,True,True,protein_coding
SPATA31A7,,,cancer-testis antigen,ENSG00000276040,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000619167,True,True,True,True,True,protein_coding
SPATA31D3,,,cancer-testis antigen,ENSG00000186788,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000445385,True,True,True,True,True,protein_coding
SPATA31D4,,,cancer-testis antigen,ENSG00000189357,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000419782,True,True,True,True,True,protein_coding
SPATA32,,,cancer-testis antigen,ENSG00000184361,CTpedia;daSilva2017,True,False,Approved,True,False,testis,0.9443,0.9443,1.0,1.0,ENST00000331780,True,True,True,True,True,protein_coding
SPACA1,,,cancer-testis antigen,ENSG00000118434,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9975,0.9975,1.0,1.0,ENST00000237201,True,True,True,True,True,protein_coding
SPACA3,,,cancer-testis antigen,ENSG00000141316,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.826,0.826,0.8584,0.8584,ENST00000580599,True,False,False,False,True,protein_coding
CATSPERD,,,cancer-testis antigen,ENSG00000174898,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000381624,True,True,True,True,True,protein_coding
CATSPER4,,,cancer-testis antigen,ENSG00000188782,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.982,0.982,1.0,1.0,ENST00000456354,True,True,True,True,True,protein_coding
CTAG1A,,,cancer-testis antigen,ENSG00000268651,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.9878,0.9878,1.0,1.0,ENST00000593606,True,True,True,True,True,protein_coding
CTAG1B,,,cancer-testis antigen,ENSG00000184033,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.9367,0.9367,1.0,1.0,ENST00000328435,True,True,True,True,True,protein_coding
CTAGE1,,,cancer-testis antigen,ENSG00000212710,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000391403,True,True,True,True,True,protein_coding
CTAGE6,,,cancer-testis antigen,ENSG00000271321,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.9527,0.9527,1.0,1.0,ENST00000470691,True,True,True,True,True,protein_coding
CTAGE9,,,cancer-testis antigen,ENSG00000236761,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.9,0.9,1.0,1.0,ENST00000314099,True,True,True,True,True,protein_coding
SSX1,,,cancer-testis antigen,ENSG00000126752,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,0.9,0.9,1.0,1.0,ENST00000376919,True,True,True,True,True,protein_coding
SSX2,,,cancer-testis antigen,ENSG00000241476,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.9878,0.9878,1.0,1.0,ENST00000337502,True,True,True,True,True,protein_coding
SSX2B,,,cancer-testis antigen,ENSG00000268447,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,0.9706,0.9706,1.0,1.0,ENST00000616191,True,True,True,True,True,protein_coding
SSX3,,,cancer-testis antigen,ENSG00000165584,CTpedia;daSilva2017,True,False,Supported,True,False,testis,0.9776,0.9776,1.0,1.0,ENST00000298396,True,True,True,True,True,protein_coding
SSX4,,,cancer-testis antigen,ENSG00000268009,CTpedia;daSilva2017,True,False,Supported,True,False,testis,0.8611,0.8611,1.0,1.0,ENST00000620320,True,True,True,True,True,protein_coding
TSPY1,,,cancer-testis antigen,ENSG00000258992,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000451548,True,True,True,True,True,protein_coding
TSPY2,,,cancer-testis antigen,ENSG00000168757,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000320701,True,True,True,True,True,protein_coding
TSPY3,,,cancer-testis antigen,ENSG00000228927,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,0.8056,0.8056,1.0,1.0,ENST00000457222,True,True,True,True,True,protein_coding
TSPY4,,,cancer-testis antigen,ENSG00000233803,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,0.9845,0.9845,1.0,1.0,ENST00000426950,True,True,True,True,True,protein_coding
TSPY8,,,cancer-testis antigen,ENSG00000229549,CTpedia;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000287721,True,True,True,True,True,protein_coding
TSPY9,TSPY9P,,cancer-testis antigen,ENSG00000238074,CTpedia;CTexploreR_CT,False,False,Supported,True,False,adrenal gland; stomach 1; stomach 2; testis,0.9797,0.9797,1.0,1.0,ENST00000440215,True,True,True,True,False,protein_coding
TSPY10,,,cancer-testis antigen,ENSG00000236424,CTpedia;daSilva2017,True,False,Supported,True,False,testis,0.95,0.95,1.0,1.0,ENST00000428845,True,True,True,True,True,protein_coding
TSPYL6,,,cancer-testis antigen,ENSG00000178021,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.963,0.963,1.0,1.0,ENST00000317802,True,True,True,True,True,protein_coding
MORC1,,,cancer-testis antigen,ENSG00000114487,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9181,0.9181,1.0,1.0,ENST00000232603,True,True,True,True,True,protein_coding
TFDP3,,,cancer-testis antigen,ENSG00000183434,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.9762,0.9762,1.0,1.0,ENST00000310125,True,True,True,True,True,protein_coding
LUZP4,,,cancer-testis antigen,ENSG00000102021,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000371920,True,True,True,True,True,protein_coding
DKKL1,,,cancer-testis antigen,ENSG00000104901,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.9517,0.9517,0.9994,0.9994,ENST00000594268,True,True,True,True,True,protein_coding
SPO11,,,cancer-testis antigen,ENSG00000054796,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000371263,True,True,True,True,True,protein_coding
CRISP2,,,cancer-testis antigen,ENSG00000124490,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,False,testis,0.8602,0.8602,0.8882,0.8882,ENST00000616725,True,False,False,False,True,protein_coding
FMR1NB,,,cancer-testis antigen,ENSG00000176988,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.9947,0.9947,1.0,1.0,ENST00000370467,True,True,True,True,True,protein_coding
TPTE,,,cancer-testis antigen,ENSG00000274391,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9937,0.9937,1.0,1.0,ENST00000622113,True,True,True,True,True,protein_coding
CT45A2,,,cancer-testis antigen,ENSG00000271449,CTpedia;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000612907,True,True,True,True,True,protein_coding
CT45A7,,,cancer-testis antigen,ENSG00000273696,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,False,False,testis,0.6667,0.6667,1.0,1.0,ENST00000610598,True,True,True,True,True,protein_coding
CT47A1,,,cancer-testis antigen,ENSG00000236371,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000433030,True,True,True,True,True,protein_coding
CT47A2,,,cancer-testis antigen,ENSG00000242362,CTpedia;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000458218,True,True,True,True,True,protein_coding
CT47A3,,,cancer-testis antigen,ENSG00000236126,CTpedia;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000441330,True,True,True,True,True,protein_coding
CT47A4,,,cancer-testis antigen,ENSG00000230594,CTpedia;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000415858,True,True,True,True,True,protein_coding
CT47A5,,,cancer-testis antigen,ENSG00000237957,CTpedia;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000439466,True,True,True,True,True,protein_coding
CT47A6,,,cancer-testis antigen,ENSG00000226023,CTpedia;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000419194,True,True,True,True,True,protein_coding
CT47A7,,,cancer-testis antigen,ENSG00000228517,CTpedia;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000434883,True,True,True,True,True,protein_coding
CT47A11,,,cancer-testis antigen,ENSG00000226929,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,False,False,testis,1.0,1.0,1.0,1.0,ENST00000457020,True,True,True,True,True,protein_coding
CT47A12,,,cancer-testis antigen,ENSG00000226685,CTpedia;CTexploreR_CT;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000419982,True,True,True,True,True,protein_coding
CT47B1,,,cancer-testis antigen,ENSG00000236446,CTpedia;daSilva2017,True,False,Supported,True,False,testis,1.0,1.0,1.0,1.0,ENST00000371311,True,True,True,True,True,protein_coding
CT83,,,cancer-testis antigen,ENSG00000204019,CTpedia;CTexploreR_CTP;daSilva2017,no data,no data,no data,False,False,no data,0.9555,0.9555,0.9749,0.9749,ENST00000371894,True,True,True,False,False,protein_coding
TEX13A,,,cancer-testis antigen,ENSG00000268629,CTpedia;daSilva2017,True,False,Enhanced,True,False,placenta; testis,1.0,1.0,1.0,1.0,ENST00000600991,True,True,True,True,True,protein_coding
TEX19,,,cancer-testis antigen,ENSG00000182459,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000333437,True,True,True,True,True,protein_coding
TEX33,CIMIP4,,cancer-testis antigen,ENSG00000185264,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.9989,0.9989,1.0,1.0,ENST00000381821,True,True,True,True,True,protein_coding
TEX35,,,cancer-testis antigen,ENSG00000240021,CTpedia;daSilva2017,True,False,Approved,False,False,testis,0.88,0.8802,0.9778,0.9778,ENST00000367639,True,True,True,False,True,protein_coding
TEX37,SPMIP9,,cancer-testis antigen,ENSG00000172073,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000303254,True,True,True,True,True,protein_coding
TEX38,,,cancer-testis antigen,ENSG00000186118,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,0.9783,0.9783,1.0,1.0,ENST00000564071,True,True,True,True,True,protein_coding
TEX44,,,cancer-testis antigen,ENSG00000177673,CTpedia,True,False,Enhanced,True,False,testis,0.998,0.998,1.0,1.0,ENST00000313965,True,True,True,True,True,protein_coding
TEX101,,,cancer-testis antigen,ENSG00000131126,CTpedia;CTexploreR_CTP;daSilva2017,True,False,Enhanced,False,True,testis,0.8825,0.8834,0.9879,0.9879,ENST00000602198,True,True,True,False,True,protein_coding
PATE1,,,cancer-testis antigen,ENSG00000171053,CTpedia,False,False,Approved,False,False,epididymis; seminal vesicle; testis,0.0,0.0,0.0005,0.0005,ENST00000305738,False,False,False,False,False,protein_coding
PATE4,,,cancer-testis antigen,ENSG00000237353,CTpedia,True,False,Approved,False,False,testis,0.004,0.004,0.0084,0.0084,ENST00000457514,False,False,False,False,False,protein_coding
PRSS54,,,cancer-testis antigen,ENSG00000103023,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,0.995,0.995,1.0,1.0,ENST00000219301,True,True,True,True,True,protein_coding
PHF7,,,cancer-testis antigen,ENSG00000010318,CTpedia;daSilva2017,True,False,Enhanced,False,True,testis,0.9126,0.9128,0.945,0.9451,ENST00000327906,True,True,False,False,True,protein_coding
SLCO6A1,,,cancer-testis antigen,ENSG00000205359,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000506729,True,True,True,True,True,protein_coding
TEKT5,,,cancer-testis antigen,ENSG00000153060,CTpedia;CTexploreR_CTP;daSilva2017,no data,no data,no data,True,False,no data,0.8067,0.8067,1.0,1.0,ENST00000283025,True,True,True,True,True,protein_coding
DMRT1,,,cancer-testis antigen,ENSG00000137090,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.9812,0.9812,1.0,1.0,ENST00000382276,True,True,True,True,True,protein_coding
DMRTC2,,,cancer-testis antigen,ENSG00000142025,CTpedia;daSilva2017,True,False,Uncertain,True,False,testis,0.9475,0.9475,1.0,1.0,ENST00000269945,True,True,True,True,True,protein_coding
DNAJB8,,,cancer-testis antigen,ENSG00000179407,CTpedia;daSilva2017,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000469083,True,True,True,True,True,protein_coding
SAGE1,,,cancer-testis antigen,ENSG00000181433,CTpedia;CTexploreR_CT;daSilva2017,True,False,Enhanced,True,False,testis,0.8393,0.8393,1.0,1.0,ENST00000324447,True,True,True,True,True,protein_coding
LIPI,,,cancer-testis antigen,ENSG00000188992,CTpedia,no data,no data,no data,False,False,no data,0.0002,0.0002,0.0024,0.0024,ENST00000681601,False,False,False,False,False,protein_coding
ADAM2,,,cancer-testis antigen,ENSG00000104755,CTpedia;daSilva2017,True,False,Enhanced,True,False,testis,1.0,1.0,1.0,1.0,ENST00000265708,True,True,True,True,True,protein_coding
PLAC1,,,cancer-testis antigen,ENSG00000170965,CTpedia,True,False,Enhanced,True,False,placenta,0.9691,0.9691,1.0,1.0,ENST00000359237,True,True,True,True,True,protein_coding
CABS1,,,cancer-testis antigen,ENSG00000145309,CTpedia;daSilva2017,True,False,Enhanced,False,False,testis,0.9628,0.9628,0.9727,0.9727,ENST00000273936,True,True,True,False,True,protein_coding
