Symbol,Ensembl_Gene_ID,Description,Category,CD,Source
FZD9,ENSG00000188763,Frizzled-9,CSPA_validated,CD349,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR25,ENSG00000170128,Probable G-protein coupled receptor 25,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TLR4,ENSG00000136869,Toll-like receptor 4,CSPA_validated,CD284,Bausch-Fluck et al. 2018 PNAS 115:E10988
TNFRSF10A,ENSG00000104689,Tumor necrosis factor receptor superfamily member 10A,Predicted,CD261,Bausch-Fluck et al. 2018 PNAS 115:E10988
GRM8,ENSG00000179603,Metabotropic glutamate receptor 8,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SIRPB1,ENSG00000101307,Signal-regulatory protein beta-1,CSPA_validated,CD172b,Bausch-Fluck et al. 2018 PNAS 115:E10988
F2RL2,ENSG00000164220,Proteinase-activated receptor 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR31,ENSG00000120436,"12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
UPK1A,ENSG00000105668,Uroplakin-1a,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC28A1,ENSG00000156222,Sodium/nucleoside cotransporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC1A7,ENSG00000162383,Excitatory amino acid transporter 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
QSOX1,ENSG00000116260,Sulfhydryl oxidase 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
P2RY10,ENSG00000078589,Putative P2Y purinoceptor 10,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC33A1,ENSG00000169359,Acetyl-coenzyme A transporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CCRL2,ENSG00000121797,C-C chemokine receptor-like 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GFRA2,ENSG00000168546,GDNF family receptor alpha-2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BTN3A3,ENSG00000111801,Butyrophilin subfamily 3 member A3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BTN3A1,ENSG00000026950,Butyrophilin subfamily 3 member A1,Predicted,CD277,Bausch-Fluck et al. 2018 PNAS 115:E10988
UPK2,ENSG00000110375,Uroplakin-2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CHL1,ENSG00000134121,Neural cell adhesion molecule L1-like protein,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DLL1,ENSG00000198719,Delta-like protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CXCR6,ENSG00000172215,C-X-C chemokine receptor type 6,CSPA_validated,CD186,Bausch-Fluck et al. 2018 PNAS 115:E10988
ACKR2,ENSG00000144648,Atypical chemokine receptor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRP,ENSG00000094755,Gamma-aminobutyric acid receptor subunit pi,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PODXL,ENSG00000128567,Podocalyxin,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLDN4,ENSG00000189143,Claudin-4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PPAP2A,ENSG00000067113,Lipid phosphate phosphohydrolase 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PPAP2B,ENSG00000162407,Lipid phosphate phosphohydrolase 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NRG2,ENSG00000158458,"Pro-neuregulin-2, membrane-bound isoform",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BAI1,ENSG00000181790,Brain-specific angiogenesis inhibitor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTPRT,ENSG00000196090,Receptor-type tyrosine-protein phosphatase T,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM194A,ENSG00000166881,Transmembrane protein 194A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ASTN1,ENSG00000152092,Astrotactin-1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR7A17,ENSG00000185385,Olfactory receptor 7A17,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR171,ENSG00000174946,Probable G-protein coupled receptor 171,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADAM10,ENSG00000137845,Disintegrin and metalloproteinase domain-containing protein 10,CSPA_validated,CD156c,Bausch-Fluck et al. 2018 PNAS 115:E10988
RRH,ENSG00000180245,Visual pigment-like receptor peropsin,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRD,ENSG00000187730,Gamma-aminobutyric acid receptor subunit delta,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NRP1,ENSG00000099250,Neuropilin-1,CSPA_validated,CD304,Bausch-Fluck et al. 2018 PNAS 115:E10988
TNFSF11,ENSG00000120659,Tumor necrosis factor ligand superfamily member 11,Predicted,CD254,Bausch-Fluck et al. 2018 PNAS 115:E10988
TNFRSF10C,ENSG00000173535,Tumor necrosis factor receptor superfamily member 10C,GPI_anchored,CD263,Bausch-Fluck et al. 2018 PNAS 115:E10988
TAAR5,ENSG00000135569,Trace amine-associated receptor 5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSPAN4,ENSG00000214063,Tetraspanin-4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TNFRSF13B,ENSG00000240505,Tumor necrosis factor receptor superfamily member 13B,Predicted,CD267,Bausch-Fluck et al. 2018 PNAS 115:E10988
FFAR1,ENSG00000126266,Free fatty acid receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FFAR3,ENSG00000185897,Free fatty acid receptor 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TM4SF5,ENSG00000142484,Transmembrane 4 L6 family member 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PCDH17,ENSG00000118946,Protocadherin-17,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NCR3,ENSG00000204475,Natural cytotoxicity triggering receptor 3,CSPA_validated,CD337,Bausch-Fluck et al. 2018 PNAS 115:E10988
EREG,ENSG00000124882,Proepiregulin,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
