Symbol,Ensembl_Gene_ID,Description,Category,CD,Source
CD300E,ENSG00000186407,CMRF35-like molecule 2,Predicted,CD300e,Bausch-Fluck et al. 2018 PNAS 115:E10988
NRN1L,ENSG00000188038,Neuritin-like protein,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SV2C,ENSG00000122012,Synaptic vesicle glycoprotein 2C,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR33,ENSG00000214943,Probable G-protein coupled receptor 33,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDON,ENSG00000064309,Cell adhesion molecule-related/down-regulated by oncogenes,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ANO6,ENSG00000177119,Anoctamin-6,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NKAIN1,ENSG00000084628,Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC22A6,ENSG00000197901,Solute carrier family 22 member 6,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ATP13A5,ENSG00000187527,Probable cation-transporting ATPase 13A5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC39A12,ENSG00000148482,Zinc transporter ZIP12,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRC24,ENSG00000254402,Leucine-rich repeat-containing protein 24,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SEZ6,ENSG00000063015,Seizure protein 6 homolog,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC44A4,ENSG00000204385,Choline transporter-like protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TM4SF20,ENSG00000168955,Transmembrane 4 L6 family member 20,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SDK2,ENSG00000069188,Protein sidekick-2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SPRN,ENSG00000203772,Shadow of prion protein,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC45A4,ENSG00000022567,Solute carrier family 45 member 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
UMODL1,ENSG00000177398,Uromodulin-like 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IGSF11,ENSG00000144847,Immunoglobulin superfamily member 11,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PRRT3,ENSG00000163704,Proline-rich transmembrane protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
XKR3,ENSG00000172967,XK-related protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM67,ENSG00000164953,Meckelin,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CRB2,ENSG00000148204,Protein crumbs homolog 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2B11,ENSG00000177535,Olfactory receptor 2B11,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR10J3,ENSG00000196266,Olfactory receptor 10J3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM255A,ENSG00000125355,Transmembrane protein 255A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SIRPB2,ENSG00000196209,Signal-regulatory protein beta-2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GLRA4,ENSG00000188828,Glycine receptor subunit alpha-4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EPHA10,ENSG00000183317,Ephrin type-A receptor 10,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RNFT1,ENSG00000189050,RING finger and transmembrane domain-containing protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FFAR4,ENSG00000186188,Free fatty acid receptor 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC10A5,ENSG00000253598,Sodium/bile acid cotransporter 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLEC12A,ENSG00000172322,C-type lectin domain family 12 member A,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ELFN2,ENSG00000166897,Protein phosphatase 1 regulatory subunit 29,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LY6G6F,ENSG00000204424,Lymphocyte antigen 6 complex locus protein G6f,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MUC21,ENSG00000204544,Mucin-21,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
C1orf101,ENSG00000179397,Uncharacterized protein C1orf101,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FREM2,ENSG00000150893,FRAS1-related extracellular matrix protein 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NCMAP,ENSG00000184454,Noncompact myelin-associated protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TREML2,ENSG00000112195,Trem-like transcript 2 protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM63B,ENSG00000137216,CSC1-like protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCC10,ENSG00000124574,Multidrug resistance-associated protein 7,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GJC2,ENSG00000198835,Gap junction gamma-2 protein,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ZFYVE27,ENSG00000155256,Protrudin,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR110,ENSG00000153292,Probable G-protein coupled receptor 110,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPRC6A,ENSG00000173612,G-protein coupled receptor family C group 6 member A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR158,ENSG00000151025,Probable G-protein coupled receptor 158,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NAGLT1,ENSG00000173214,Sodium-dependent glucose transporter 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2G6,ENSG00000188558,Olfactory receptor 2G6,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR157,ENSG00000180758,Probable G-protein coupled receptor 157,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRC38,ENSG00000162494,Leucine-rich repeat-containing protein 38,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VSIG8,ENSG00000243284,V-set and immunoglobulin domain-containing protein 8,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NUP210L,ENSG00000143552,Nuclear pore membrane glycoprotein 210-like,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CACHD1,ENSG00000158966,VWFA and cache domain-containing protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FAM171A1,ENSG00000148468,Protein FAM171A1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIAA0319,ENSG00000137261,Dyslexia-associated protein KIAA0319,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ATRNL1,ENSG00000107518,Attractin-like protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR107,ENSG00000148358,Protein GPR107,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL23R,ENSG00000162594,Interleukin-23 receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SUSD4,ENSG00000143502,Sushi domain-containing protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NKAIN2,ENSG00000188580,Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PEAR1,ENSG00000187800,Platelet endothelial aggregation receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RAET1L,ENSG00000155918,Retinoic acid early transcript 1L protein,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MALRD1,ENSG00000204740,MAM and LDL-receptor class A domain-containing protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IZUMO3,ENSG00000205442,Izumo sperm-egg fusion protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ANO1,ENSG00000131620,Anoctamin-1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD276,ENSG00000103855,CD276 antigen,CSPA_validated,CD276,Bausch-Fluck et al. 2018 PNAS 115:E10988
MUC17,ENSG00000169876,Mucin-17,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
STEAP4,ENSG00000127954,Metalloreductase STEAP4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NCR3LG1,ENSG00000188211,Natural cytotoxicity triggering receptor 3 ligand 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LMBRD2,ENSG00000164187,LMBR1 domain-containing protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RNF43,ENSG00000108375,E3 ubiquitin-protein ligase RNF43,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ERVK-6,,Endogenous retrovirus group K member 6 Env polyprotein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC6A19,ENSG00000174358,Sodium-dependent neutral amino acid transporter B(0)AT1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCRL6,ENSG00000181036,Fc receptor-like protein 6,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR139,ENSG00000180269,Probable G-protein coupled receptor 139,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VASN,ENSG00000168140,Vasorin,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LAIR1,ENSG00000167613,Leukocyte-associated immunoglobulin-like receptor 1,CSPA_validated,CD305,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM225,ENSG00000204300,Transmembrane protein 225,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RAET1G,ENSG00000203722,Retinoic acid early transcript 1G protein,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SIGIRR,ENSG00000185187,Single Ig IL-1-related receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM211,ENSG00000206069,Transmembrane protein 211,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM132E,ENSG00000181291,Transmembrane protein 132E,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5M10,ENSG00000254834,Olfactory receptor 5M10,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR4C11,ENSG00000172188,Olfactory receptor 4C11,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR4F3,ENSG00000273547,Olfactory receptor 4F3/4F16/4F29,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2T5,ENSG00000203661,Olfactory receptor 2T5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2T2,ENSG00000196240,Olfactory receptor 2T2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2A2,ENSG00000221989,Olfactory receptor 2A2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR52W1,ENSG00000175485,Olfactory receptor 52W1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR4A47,ENSG00000237388,Olfactory receptor 4A47,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR10K2,ENSG00000180708,Olfactory receptor 10K2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR52E8,ENSG00000183269,Olfactory receptor 52E8,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR6B2,ENSG00000182083,Olfactory receptor 6B2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR7E24,ENSG00000237521,Olfactory receptor 7E24,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTCRA,ENSG00000171611,Pre T-cell antigen receptor alpha,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ANO7,ENSG00000146205,Anoctamin-7,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC8B1,ENSG00000089060,"Sodium/potassium/calcium exchanger 6, mitochondrial",CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HEPHL1,ENSG00000181333,Hephaestin-like protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TENM4,ENSG00000149256,Teneurin-4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MFSD5,ENSG00000182544,Molybdate-anion transporter,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
C11orf87,ENSG00000185742,Uncharacterized protein C11orf87,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TCTN3,ENSG00000119977,Tectonic-3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MFSD12,ENSG00000161091,Major facilitator superfamily domain-containing protein 12,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR153,ENSG00000158292,Probable G-protein coupled receptor 153,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NIPAL1,ENSG00000163293,Magnesium transporter NIPA3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RGMB,ENSG00000174136,RGM domain family member B,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PLB1,ENSG00000163803,"Phospholipase B1, membrane-associated",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NIPAL3,ENSG00000001461,NIPA-like protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CNNM4,ENSG00000158158,Metal transporter CNNM4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC39A4,ENSG00000147804,Zinc transporter ZIP4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FAM171B,ENSG00000144369,Protein FAM171B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM154,ENSG00000170006,Transmembrane protein 154,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EMB,ENSG00000170571,Embigin,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GJB7,ENSG00000164411,Gap junction beta-7 protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LILRA6,ENSG00000244482,Leukocyte immunoglobulin-like receptor subfamily A member 6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TRAT1,ENSG00000163519,T-cell receptor-associated transmembrane adapter 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RHBDF2,ENSG00000129667,Inactive rhomboid protein 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRFN4,ENSG00000173621,Leucine-rich repeat and fibronectin type-III domain-containing protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR179,,Probable G-protein coupled receptor 179,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC2A7,ENSG00000197241,"Solute carrier family 2, facilitated glucose transporter member 7",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD200R1L,ENSG00000206531,Cell surface glycoprotein CD200 receptor 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR133,ENSG00000111452,Probable G-protein coupled receptor 133,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC22A25,ENSG00000196600,Solute carrier family 22 member 25,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OPN5,ENSG00000124818,Opsin-5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC4A10,ENSG00000144290,Sodium-driven chloride bicarbonate exchanger,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PLET1,ENSG00000188771,Placenta-expressed transcript 1 protein,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CSPG4,ENSG00000173546,Chondroitin sulfate proteoglycan 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ATRAID,ENSG00000138085,All-trans retinoic acid-induced differentiation factor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EPGN,ENSG00000182585,Epigen,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL27RA,ENSG00000104998,Interleukin-27 receptor subunit alpha,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PARM1,ENSG00000169116,Prostate androgen-regulated mucin-like protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMCO3,ENSG00000150403,Transmembrane and coiled-coil domain-containing protein 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD164L2,ENSG00000174950,CD164 sialomucin-like 2 protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SUSD1,ENSG00000106868,Sushi domain-containing protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIRREL2,ENSG00000126259,Kin of IRRE-like protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LYPD4,ENSG00000273111,Ly6/PLAUR domain-containing protein 4,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LYPD5,ENSG00000159871,Ly6/PLAUR domain-containing protein 5,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ENPP6,ENSG00000164303,Ectonucleotide pyrophosphatase/phosphodiesterase family member 6,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MPZL3,ENSG00000160588,Myelin protein zero-like protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LMBR1L,ENSG00000139636,Protein LMBR1L,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LAYN,ENSG00000204381,Layilin,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VSTM1,ENSG00000189068,V-set and transmembrane domain-containing protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PLXDC2,ENSG00000120594,Plexin domain-containing protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LYPD8,,Ly6/PLAUR domain-containing protein 8,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LYPD2,ENSG00000197353,Ly6/PLAUR domain-containing protein 2,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLEC4G,ENSG00000182566,C-type lectin domain family 4 member G,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PI16,ENSG00000164530,Peptidase inhibitor 16,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MAMDC4,ENSG00000177943,Apical endosomal glycoprotein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SEZ6L2,ENSG00000174938,Seizure 6-like protein 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MFSD7,ENSG00000169026,Major facilitator superfamily domain-containing protein 7,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BTNL3,ENSG00000168903,Butyrophilin-like protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM108,ENSG00000144868,Transmembrane protein 108,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIAA1324,ENSG00000116299,UPF0577 protein KIAA1324,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD300LG,ENSG00000161649,CMRF35-like molecule 9,Predicted,CD300g,Bausch-Fluck et al. 2018 PNAS 115:E10988
BTNL9,ENSG00000165810,Butyrophilin-like protein 9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ISLR2,ENSG00000167178,Immunoglobulin superfamily containing leucine-rich repeat protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRN1,ENSG00000175928,Leucine-rich repeat neuronal protein 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL20RB,ENSG00000174564,Interleukin-20 receptor subunit beta,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRIG3,ENSG00000139263,Leucine-rich repeats and immunoglobulin-like domains protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLEC9A,ENSG00000197992,C-type lectin domain family 9 member A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GSG1L,ENSG00000169181,Germ cell-specific gene 1-like protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GFRAL,ENSG00000187871,GDNF family receptor alpha-like,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMIGD1,ENSG00000182271,Transmembrane and immunoglobulin domain-containing protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD300LD,ENSG00000204345,CMRF35-like molecule 4,Predicted,CD300d,Bausch-Fluck et al. 2018 PNAS 115:E10988
UNC5D,ENSG00000156687,Netrin receptor UNC5D,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CEACAM20,,Carcinoembryonic antigen-related cell adhesion molecule 20,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DLK2,ENSG00000171462,Protein delta homolog 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LINGO4,ENSG00000213171,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FAT4,ENSG00000196159,Protocadherin Fat 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DCHS2,ENSG00000197410,Protocadherin-23,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NPSR1,ENSG00000187258,Neuropeptide S receptor,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC36A4,ENSG00000180773,Proton-coupled amino acid transporter 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD109,ENSG00000156535,CD109 antigen,CSPA_validated,CD109,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM184A,ENSG00000164855,Transmembrane protein 184A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SIGLEC15,ENSG00000197046,Sialic acid-binding Ig-like lectin 15,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SPNS3,ENSG00000182557,Protein spinster homolog 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC39A5,ENSG00000139540,Zinc transporter ZIP5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GLDN,ENSG00000186417,Gliomedin,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SCARA5,ENSG00000168079,Scavenger receptor class A member 5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
UNC5A,ENSG00000113763,Netrin receptor UNC5A,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FRRS1,ENSG00000156869,Ferric-chelate reductase 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PQLC2,ENSG00000040487,Lysosomal amino acid transporter 1 homolog,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM182,ENSG00000170417,Transmembrane protein 182,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLCO4C1,ENSG00000173930,Solute carrier organic anion transporter family member 4C1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CATSPERG,ENSG00000099338,Cation channel sperm-associated protein subunit gamma,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
QSOX2,ENSG00000165661,Sulfhydryl oxidase 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLEC17A,ENSG00000187912,"C-type lectin domain family 17, member A",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SHISA6,ENSG00000188803,Protein shisa-6 homolog,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC16A12,ENSG00000152779,Monocarboxylate transporter 12,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MFSD6,ENSG00000151690,Major facilitator superfamily domain-containing protein 6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDHR3,ENSG00000128536,Cadherin-related family member 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM26,ENSG00000196932,Transmembrane protein 26,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIAA1549L,ENSG00000110427,UPF0606 protein KIAA1549L,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HFE2,ENSG00000168509,Hemojuvelin,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PTCHD4,ENSG00000244694,Patched domain-containing protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HTR3D,ENSG00000186090,5-hydroxytryptamine receptor 3D,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC24A5,ENSG00000188467,Sodium/potassium/calcium exchanger 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PGAP1,ENSG00000197121,GPI inositol-deacylase,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ANO5,ENSG00000171714,Anoctamin-5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BTN2A1,ENSG00000112763,Butyrophilin subfamily 2 member A1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SV2A,ENSG00000159164,Synaptic vesicle glycoprotein 2A,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TRIL,ENSG00000255690,TLR4 interactor with leucine rich repeats,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SV2B,ENSG00000185518,Synaptic vesicle glycoprotein 2B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LINGO2,ENSG00000174482,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC26A9,ENSG00000174502,Solute carrier family 26 member 9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OTOP1,ENSG00000163982,Otopetrin-1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OTOP2,ENSG00000183034,Otopetrin-2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC29A4,ENSG00000164638,Equilibrative nucleoside transporter 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OTOA,ENSG00000155719,Otoancorin,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TAS1R3,ENSG00000169962,Taste receptor type 1 member 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TAS1R1,ENSG00000173662,Taste receptor type 1 member 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PRSS41,,Putative serine protease 41,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LPPR4,,Lipid phosphate phosphatase-related protein type 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC36A1,ENSG00000123643,Proton-coupled amino acid transporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ERMP1,ENSG00000099219,Endoplasmic reticulum metallopeptidase 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
