Ensembl_Gene_ID,Symbol,qc_group,qc_label,ensembl_releases,biotypes
ENSG00000207971,MIR125B1,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000207863,MIR125B2,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000199161,MIR126,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221754,MIR1260A,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000266192,MIR1260B,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221586,MIR1261,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221203,MIR1262,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221251,MIR1263,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000276158,MIR1264,small_ncrna,small noncoding RNA,77;78;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221371,MIR1265,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221052,MIR1266,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221650,MIR1267,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221641,MIR1268A,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000265561,MIR1268B,small_ncrna,small noncoding RNA,87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221563,MIR1269A,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000265503,MIR1269B,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000207608,MIR127,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000238517,MIR1270,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221464,MIR1271,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221033,MIR1272,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221753,MIR1273A,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93,miRNA
ENSG00000264814,MIR1273C,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000264881,MIR1273D,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93,miRNA
ENSG00000265031,MIR1273E,small_ncrna,small noncoding RNA,79;80;81;83;87;93,miRNA
ENSG00000264834,MIR1273F,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93,miRNA
ENSG00000265815,MIR1273G,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93,miRNA
ENSG00000274466,MIR1273H,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221697,MIR1275,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221634,MIR1276,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221463,MIR1277,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221680,MIR1278,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000283476,MIR1279,small_ncrna,small noncoding RNA,87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000207654,MIR128-1,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000207625,MIR128-2,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221160,MIR1281,small_ncrna,small noncoding RNA,77;78;79;80;81;83,miRNA
ENSG00000284015,MIR1281,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221792,MIR1282,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221421,MIR1283-1,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221548,MIR1283-2,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221264,MIR1284,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
