Ensembl_Gene_ID,Symbol,qc_group,qc_label,ensembl_releases,biotypes
ENSG00000105372,RPS19,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000140988,RPS2,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000008988,RPS20,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000171858,RPS21,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000186468,RPS23,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000138326,RPS24,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000118181,RPS25,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000280831,RPS25,ribosomal_protein,ribosomal protein,79;80;81,protein_coding
ENSG00000197728,RPS26,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000177954,RPS27,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000143947,RPS27A,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000185088,RPS27L,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000233927,RPS28,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000213741,RPS29,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000149273,RPS3,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000145425,RPS3A,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000198034,RPS4X,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000083845,RPS5,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000137154,RPS6,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000171863,RPS7,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000142937,RPS8,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000170889,RPS9,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000274005,RPS9,ribosomal_protein,ribosomal protein,77;78;79;80;81,protein_coding
ENSG00000274626,RPS9,ribosomal_protein,ribosomal protein,77;78;79;80;81,protein_coding
ENSG00000274646,RPS9,ribosomal_protein,ribosomal protein,77;78;79;80;81,protein_coding
ENSG00000274950,RPS9,ribosomal_protein,ribosomal protein,77;78;79;80;81,protein_coding
ENSG00000275323,RPS9,ribosomal_protein,ribosomal protein,77;78;79;80;81,protein_coding
ENSG00000277079,RPS9,ribosomal_protein,ribosomal protein,77;78;79;80;81,protein_coding
ENSG00000277359,RPS9,ribosomal_protein,ribosomal protein,77;78;79;80;81,protein_coding
ENSG00000278081,RPS9,ribosomal_protein,ribosomal protein,77;78;79;80;81,protein_coding
ENSG00000278270,RPS9,ribosomal_protein,ribosomal protein,77;78;79;80;81,protein_coding
