gene_id,cancer,source_samples,samples,sum_ptpm,max_ptpm,missing_samples,mean_ptpm,expressed_samples_ptpm_ge_0_1,prevalence_ptpm_ge_0_1,expressed_samples_ptpm_ge_1,prevalence_ptpm_ge_1,expressed_samples_ptpm_ge_2,prevalence_ptpm_ge_2,expressed_samples_ptpm_ge_5,prevalence_ptpm_ge_5,cancer_type,cancer_code,organ,nominal_samples,cohort,hpa_gene_name,symbol
ENSG00000169495,Lung Squamous Cell Carcinoma (TCGA),489,489,669.7378,15.6832,0,1.36960695297,488,0.997955010225,257,0.525562372188,87,0.177914110429,8,0.0163599182004,Lung Squamous Cell Carcinoma,LUSC,Respiratory system,489,TCGA,HTRA4,HTRA4
ENSG00000169495,Ovary Serous Cystadenocarcinoma (TCGA),349,349,263.1923,4.1569,0,0.754132664756,347,0.994269340974,79,0.226361031519,6,0.0171919770774,0,0.0,Ovary Serous Cystadenocarcinoma,OV,Breast & female reproductive system,349,TCGA,HTRA4,HTRA4
ENSG00000169495,Pancreatic Adenocarcinoma (TCGA),176,176,186.3293,6.0307,0,1.05868920455,176,1.0,68,0.386363636364,14,0.0795454545455,3,0.0170454545455,Pancreatic Adenocarcinoma,PAAD,Pancreas,176,TCGA,HTRA4,HTRA4
ENSG00000169495,Prostate Adenocarcinoma (TCGA),480,480,299.0159,3.2805,0,0.622949791667,477,0.99375,53,0.110416666667,8,0.0166666666667,0,0.0,Prostate Adenocarcinoma,PRAD,Male reproductive system,480,TCGA,HTRA4,HTRA4
ENSG00000169495,Rectum Adenocarcinoma (TCGA),88,88,45.4217,2.5893,0,0.516155681818,84,0.954545454545,7,0.0795454545455,1,0.0113636363636,0,0.0,Rectum Adenocarcinoma,READ,Gastrointestinal tract,88,TCGA,HTRA4,HTRA4
ENSG00000169495,Skin Cuteneous Melanoma (TCGA),99,99,57.8479,5.5124,0,0.584322222222,76,0.767676767677,18,0.181818181818,5,0.0505050505051,1,0.010101010101,Skin Cuteneous Melanoma,SKCM,Skin,99,TCGA,HTRA4,HTRA4
ENSG00000169495,Stomach Adenocarcinoma (TCGA),346,346,518.9457,11.0248,0,1.49984306358,346,1.0,205,0.592485549133,71,0.205202312139,10,0.028901734104,Stomach Adenocarcinoma,STAD,Gastrointestinal tract,346,TCGA,HTRA4,HTRA4
ENSG00000169495,Testicular Germ Cell Tumor (TCGA),133,133,554.5753,100.062,0,4.16973909774,102,0.766917293233,67,0.503759398496,47,0.353383458647,25,0.187969924812,Testicular Germ Cell Tumor,TGCT,Male reproductive system,133,TCGA,HTRA4,HTRA4
ENSG00000169495,Thyroid Carcinoma (TCGA),495,495,367.9437,9.4942,0,0.743320606061,490,0.989898989899,113,0.228282828283,17,0.0343434343434,2,0.0040404040404,Thyroid Carcinoma,THCA,Endocrine tissues,495,TCGA,HTRA4,HTRA4
ENSG00000169495,Uterine Corpus Endometrial Carcinoma (TCGA),176,176,139.5845,10.4683,0,0.79309375,112,0.636363636364,21,0.119318181818,11,0.0625,9,0.0511363636364,Uterine Corpus Endometrial Carcinoma,UCEC,Breast & female reproductive system,176,TCGA,HTRA4,HTRA4
ENSG00000169495,Kidney Renal Clear Cell Carcinoma (validation),100,100,339.6832,54.9113,0,3.396832,100,1.0,86,0.86,54,0.54,13,0.13,Kidney Renal Clear Cell Carcinoma,KIRC,Kidney & Urinary bladder,100,validation,HTRA4,HTRA4
ENSG00000169495,Colon Adenocarcinoma (validation),486,486,2949.3636,18.2897,0,6.06864938272,486,1.0,486,1.0,483,0.993827160494,303,0.623456790123,Colon Adenocarcinoma,COAD,Gastrointestinal tract,486,validation,HTRA4,HTRA4
ENSG00000169495,Glioblastoma Multiforme (validation),58,58,101.3964,10.5902,0,1.7482137931,58,1.0,36,0.620689655172,12,0.206896551724,3,0.051724137931,Glioblastoma Multiforme,GBM,Brain,58,validation,HTRA4,HTRA4
ENSG00000169495,Lung Adenocarcinoma (validation),105,105,585.4651,66.2041,0,5.57585809524,105,1.0,104,0.990476190476,92,0.87619047619,38,0.361904761905,Lung Adenocarcinoma,LUAD,Respiratory system,105,validation,HTRA4,HTRA4
ENSG00000169495,Lung Squamous Cell Carcinoma (validation),68,68,286.5984,17.8433,0,4.21468235294,68,1.0,66,0.970588235294,57,0.838235294118,18,0.264705882353,Lung Squamous Cell Carcinoma,LUSC,Respiratory system,68,validation,HTRA4,HTRA4
ENSG00000169495,Ovary Serous Cystadenocarcinoma (validation),81,81,19.3131,1.4604,0,0.238433333333,60,0.740740740741,1,0.0123456790123,0,0.0,0,0.0,Ovary Serous Cystadenocarcinoma,OV,Breast & female reproductive system,81,validation,HTRA4,HTRA4
ENSG00000169495,Rectum Adenocarcinoma (validation),207,207,1489.2504,257.783,0,7.19444637681,207,1.0,207,1.0,206,0.995169082126,132,0.63768115942,Rectum Adenocarcinoma,READ,Gastrointestinal tract,207,validation,HTRA4,HTRA4
ENSG00000169495,Breast Invasive Carcinoma (validation),50,50,148.6985,15.8402,0,2.97397,50,1.0,34,0.68,26,0.52,10,0.2,Breast Invasive Carcinoma,BRCA,Breast & female reproductive system,50,validation,HTRA4,HTRA4
ENSG00000169495,Liver Hepatocellular Carcinoma (validation),231,231,445.2967,102.825,0,1.92769134199,189,0.818181818182,55,0.238095238095,34,0.147186147186,12,0.0519480519481,Liver Hepatocellular Carcinoma,LIHC,Liver & Gallbladder,231,validation,HTRA4,HTRA4
ENSG00000169495,Pancreatic Adenocarcinoma (validation),80,80,121.6616,40.8373,0,1.52077,80,1.0,33,0.4125,9,0.1125,1,0.0125,Pancreatic Adenocarcinoma,PAAD,Pancreas,80,validation,HTRA4,HTRA4
ENSG00000137869,Bladder Urothelial Carcinoma (TCGA),169,169,223.1359,42.1072,0,1.32033076923,92,0.544378698225,21,0.12426035503,17,0.100591715976,12,0.0710059171598,Bladder Urothelial Carcinoma,BLCA,Kidney & Urinary bladder,169,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Breast Invasive Carcinoma (TCGA),1022,1022,349.5827,15.019,0,0.342057436399,685,0.670254403131,59,0.0577299412916,14,0.013698630137,5,0.00489236790607,Breast Invasive Carcinoma,BRCA,Breast & female reproductive system,1022,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),283,283,87.8172,18.8504,0,0.310308127208,94,0.332155477032,10,0.0353356890459,6,0.0212014134276,4,0.0141342756184,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,CESC,Breast & female reproductive system,283,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Colon Adenocarcinoma (TCGA),254,254,77.4604,6.8907,0,0.304962204724,177,0.696850393701,10,0.0393700787402,4,0.0157480314961,1,0.00393700787402,Colon Adenocarcinoma,COAD,Gastrointestinal tract,254,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Glioblastoma Multiforme (TCGA),141,141,361.8394,29.8743,0,2.56623687943,141,1.0,98,0.695035460993,60,0.425531914894,11,0.0780141843972,Glioblastoma Multiforme,GBM,Brain,141,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Head and Neck Squamous Cell Carcinoma (TCGA),492,492,198.1807,4.5857,0,0.402806300813,413,0.839430894309,36,0.0731707317073,9,0.0182926829268,0,0.0,Head and Neck Squamous Cell Carcinoma,HNSC,Gastrointestinal tract,492,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Kidney Chromophobe (TCGA),64,64,116.6484,114.437,0,1.82263125,9,0.140625,1,0.015625,1,0.015625,1,0.015625,Kidney Chromophobe,KICH,Kidney & Urinary bladder,64,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Kidney Renal Clear Cell Carcinoma (TCGA),521,521,98.258,3.7353,0,0.188595009597,246,0.47216890595,13,0.0249520153551,3,0.00575815738964,0,0.0,Kidney Renal Clear Cell Carcinoma,KIRC,Kidney & Urinary bladder,521,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Kidney Renal Papillary Cell Carcinoma (TCGA),282,282,41.5964,9.1471,0,0.147504964539,78,0.276595744681,5,0.0177304964539,3,0.0106382978723,1,0.00354609929078,Kidney Renal Papillary Cell Carcinoma,KIRP,Kidney & Urinary bladder,282,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Liver Hepatocellular Carcinoma (TCGA),362,362,409.7789,59.6722,0,1.1319859116,113,0.312154696133,34,0.0939226519337,25,0.0690607734807,11,0.0303867403315,Liver Hepatocellular Carcinoma,LIHC,Liver & Gallbladder,362,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Lung Adenocarcinoma (TCGA),497,497,186.9974,4.0961,0,0.376252313883,397,0.798792756539,35,0.0704225352113,13,0.0261569416499,0,0.0,Lung Adenocarcinoma,LUAD,Respiratory system,497,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Lung Squamous Cell Carcinoma (TCGA),489,489,222.9158,6.2056,0,0.455860531697,439,0.897750511247,32,0.0654396728016,10,0.0204498977505,1,0.00204498977505,Lung Squamous Cell Carcinoma,LUSC,Respiratory system,489,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Ovary Serous Cystadenocarcinoma (TCGA),349,349,97.6732,7.9609,0,0.279865902579,214,0.613180515759,14,0.0401146131805,11,0.0315186246418,1,0.00286532951289,Ovary Serous Cystadenocarcinoma,OV,Breast & female reproductive system,349,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Pancreatic Adenocarcinoma (TCGA),176,176,90.5499,5.8284,0,0.514488068182,159,0.903409090909,19,0.107954545455,4,0.0227272727273,1,0.00568181818182,Pancreatic Adenocarcinoma,PAAD,Pancreas,176,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Prostate Adenocarcinoma (TCGA),480,480,30.2442,0.5757,0,0.06300875,110,0.229166666667,0,0.0,0,0.0,0,0.0,Prostate Adenocarcinoma,PRAD,Male reproductive system,480,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Rectum Adenocarcinoma (TCGA),88,88,24.835,2.0971,0,0.282215909091,64,0.727272727273,6,0.0681818181818,1,0.0113636363636,0,0.0,Rectum Adenocarcinoma,READ,Gastrointestinal tract,88,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Skin Cuteneous Melanoma (TCGA),99,99,99.3289,54.4434,0,1.00332222222,41,0.414141414141,10,0.10101010101,5,0.0505050505051,3,0.030303030303,Skin Cuteneous Melanoma,SKCM,Skin,99,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Stomach Adenocarcinoma (TCGA),346,346,197.8422,20.3153,0,0.571798265896,272,0.78612716763,42,0.121387283237,15,0.0433526011561,4,0.0115606936416,Stomach Adenocarcinoma,STAD,Gastrointestinal tract,346,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Testicular Germ Cell Tumor (TCGA),133,133,65.8712,16.833,0,0.495272180451,55,0.413533834586,12,0.0902255639098,7,0.0526315789474,3,0.0225563909774,Testicular Germ Cell Tumor,TGCT,Male reproductive system,133,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Thyroid Carcinoma (TCGA),495,495,100.7263,5.6849,0,0.203487474747,202,0.408080808081,18,0.0363636363636,10,0.020202020202,1,0.0020202020202,Thyroid Carcinoma,THCA,Endocrine tissues,495,TCGA,CYP19A1,CYP19A1
ENSG00000137869,Uterine Corpus Endometrial Carcinoma (TCGA),176,176,27.8787,16.6213,0,0.158401704545,36,0.204545454545,1,0.00568181818182,1,0.00568181818182,1,0.00568181818182,Uterine Corpus Endometrial Carcinoma,UCEC,Breast & female reproductive system,176,TCGA,CYP19A1,CYP19A1
