cancer_code,representative_id,source_cohort,source_project,n_cohort_samples,cluster_rank
CESC,CESC_rep03,TREEHOUSE_POLYA_25_01,Treehouse,306,3
CESC,CESC_rep04,TREEHOUSE_POLYA_25_01,Treehouse,306,4
CESC,CESC_rep05,TREEHOUSE_POLYA_25_01,Treehouse,306,5
CHOL,CHOL_rep01,TREEHOUSE_POLYA_25_01,Treehouse,36,1
CHOL,CHOL_rep02,TREEHOUSE_POLYA_25_01,Treehouse,36,2
CHOL,CHOL_rep03,TREEHOUSE_POLYA_25_01,Treehouse,36,3
CHOL,CHOL_rep04,TREEHOUSE_POLYA_25_01,Treehouse,36,4
CHOL,CHOL_rep05,TREEHOUSE_POLYA_25_01,Treehouse,36,5
CLL,CLL_rep01,CLLMAP_2022,CLL-map,708,1
CLL,CLL_rep02,CLLMAP_2022,CLL-map,708,2
CLL,CLL_rep03,CLLMAP_2022,CLL-map,708,3
CLL,CLL_rep04,CLLMAP_2022,CLL-map,708,4
CLL,CLL_rep05,CLLMAP_2022,CLL-map,708,5
CML,CML_rep01,GEO_HEME_2022,GEO,5,1
CML,CML_rep02,GEO_HEME_2022,GEO,5,2
CML,CML_rep03,GEO_HEME_2022,GEO,5,3
CML,CML_rep04,GEO_HEME_2022,GEO,5,4
CML,CML_rep05,GEO_HEME_2022,GEO,5,5
COAD,COAD_rep01,TREEHOUSE_POLYA_25_01,Treehouse,290,1
COAD,COAD_rep02,TREEHOUSE_POLYA_25_01,Treehouse,290,2
COAD,COAD_rep03,TREEHOUSE_POLYA_25_01,Treehouse,290,3
COAD,COAD_rep04,TREEHOUSE_POLYA_25_01,Treehouse,290,4
COAD,COAD_rep05,TREEHOUSE_POLYA_25_01,Treehouse,290,5
CTCL,CTCL_rep01,GSE171811_ECCITE_CTCL,GEO,7,1
CTCL,CTCL_rep02,GSE171811_ECCITE_CTCL,GEO,7,2
CTCL,CTCL_rep03,GSE171811_ECCITE_CTCL,GEO,7,3
CTCL,CTCL_rep04,GSE171811_ECCITE_CTCL,GEO,7,4
CTCL,CTCL_rep05,GSE171811_ECCITE_CTCL,GEO,7,5
DLBC,DLBC_rep01,TREEHOUSE_POLYA_25_01,Treehouse,47,1
DLBC,DLBC_rep02,TREEHOUSE_POLYA_25_01,Treehouse,47,2
DLBC,DLBC_rep03,TREEHOUSE_POLYA_25_01,Treehouse,47,3
DLBC,DLBC_rep04,TREEHOUSE_POLYA_25_01,Treehouse,47,4
DLBC,DLBC_rep05,TREEHOUSE_POLYA_25_01,Treehouse,47,5
ESCA,ESCA_rep01,TREEHOUSE_POLYA_25_01,Treehouse,182,1
ESCA,ESCA_rep02,TREEHOUSE_POLYA_25_01,Treehouse,182,2
ESCA,ESCA_rep03,TREEHOUSE_POLYA_25_01,Treehouse,182,3
ESCA,ESCA_rep04,TREEHOUSE_POLYA_25_01,Treehouse,182,4
ESCA,ESCA_rep05,TREEHOUSE_POLYA_25_01,Treehouse,182,5
FL,FL_rep01,GSE142334_FL_TFL_2021,GEO,6,1
FL,FL_rep02,GSE142334_FL_TFL_2021,GEO,6,2
FL,FL_rep03,GSE142334_FL_TFL_2021,GEO,6,3
FL,FL_rep04,GSE142334_FL_TFL_2021,GEO,6,4
FL,FL_rep05,GSE142334_FL_TFL_2021,GEO,6,5
GBM,GBM_rep01,TREEHOUSE_POLYA_25_01,Treehouse,166,1
GBM,GBM_rep02,TREEHOUSE_POLYA_25_01,Treehouse,166,2
GBM,GBM_rep03,TREEHOUSE_POLYA_25_01,Treehouse,166,3
GBM,GBM_rep04,TREEHOUSE_POLYA_25_01,Treehouse,166,4
GBM,GBM_rep05,TREEHOUSE_POLYA_25_01,Treehouse,166,5
HEPB,HEPB_rep01,TREEHOUSE_POLYA_25_01,Treehouse,20,1
HEPB,HEPB_rep02,TREEHOUSE_POLYA_25_01,Treehouse,20,2
HEPB,HEPB_rep03,TREEHOUSE_POLYA_25_01,Treehouse,20,3
HEPB,HEPB_rep04,TREEHOUSE_POLYA_25_01,Treehouse,20,4
HEPB,HEPB_rep05,TREEHOUSE_POLYA_25_01,Treehouse,20,5
HL,HL_rep01,GSE120328_LAMPRECHT_2018,recount3,5,1
HL,HL_rep02,GSE120328_LAMPRECHT_2018,recount3,5,2
HL,HL_rep03,GSE120328_LAMPRECHT_2018,recount3,5,3
HL,HL_rep04,GSE120328_LAMPRECHT_2018,recount3,5,4
HL,HL_rep05,GSE120328_LAMPRECHT_2018,recount3,5,5
HNSC,HNSC_rep01,TREEHOUSE_POLYA_25_01,Treehouse,520,1
HNSC,HNSC_rep02,TREEHOUSE_POLYA_25_01,Treehouse,520,2
HNSC,HNSC_rep03,TREEHOUSE_POLYA_25_01,Treehouse,520,3
HNSC,HNSC_rep04,TREEHOUSE_POLYA_25_01,Treehouse,520,4
HNSC,HNSC_rep05,TREEHOUSE_POLYA_25_01,Treehouse,520,5
HNSC_HPVneg,HNSC_HPVneg_rep01,TREEHOUSE_POLYA_25_01,Treehouse,415,1
HNSC_HPVneg,HNSC_HPVneg_rep02,TREEHOUSE_POLYA_25_01,Treehouse,415,2
HNSC_HPVneg,HNSC_HPVneg_rep03,TREEHOUSE_POLYA_25_01,Treehouse,415,3
HNSC_HPVneg,HNSC_HPVneg_rep04,TREEHOUSE_POLYA_25_01,Treehouse,415,4
HNSC_HPVneg,HNSC_HPVneg_rep05,TREEHOUSE_POLYA_25_01,Treehouse,415,5
HNSC_HPVpos,HNSC_HPVpos_rep01,TREEHOUSE_POLYA_25_01,Treehouse,72,1
HNSC_HPVpos,HNSC_HPVpos_rep02,TREEHOUSE_POLYA_25_01,Treehouse,72,2
HNSC_HPVpos,HNSC_HPVpos_rep03,TREEHOUSE_POLYA_25_01,Treehouse,72,3
HNSC_HPVpos,HNSC_HPVpos_rep04,TREEHOUSE_POLYA_25_01,Treehouse,72,4
HNSC_HPVpos,HNSC_HPVpos_rep05,TREEHOUSE_POLYA_25_01,Treehouse,72,5
KICH,KICH_rep01,TREEHOUSE_POLYA_25_01,Treehouse,66,1
KICH,KICH_rep02,TREEHOUSE_POLYA_25_01,Treehouse,66,2
KICH,KICH_rep03,TREEHOUSE_POLYA_25_01,Treehouse,66,3
KICH,KICH_rep04,TREEHOUSE_POLYA_25_01,Treehouse,66,4
KICH,KICH_rep05,TREEHOUSE_POLYA_25_01,Treehouse,66,5
KIRC,KIRC_rep01,TREEHOUSE_POLYA_25_01,Treehouse,531,1
KIRC,KIRC_rep02,TREEHOUSE_POLYA_25_01,Treehouse,531,2
KIRC,KIRC_rep03,TREEHOUSE_POLYA_25_01,Treehouse,531,3
KIRC,KIRC_rep04,TREEHOUSE_POLYA_25_01,Treehouse,531,4
KIRC,KIRC_rep05,TREEHOUSE_POLYA_25_01,Treehouse,531,5
KIRP,KIRP_rep01,TREEHOUSE_POLYA_25_01,Treehouse,289,1
KIRP,KIRP_rep02,TREEHOUSE_POLYA_25_01,Treehouse,289,2
KIRP,KIRP_rep03,TREEHOUSE_POLYA_25_01,Treehouse,289,3
KIRP,KIRP_rep04,TREEHOUSE_POLYA_25_01,Treehouse,289,4
KIRP,KIRP_rep05,TREEHOUSE_POLYA_25_01,Treehouse,289,5
LAML,LAML_rep01,TREEHOUSE_POLYA_25_01,Treehouse,173,1
LAML,LAML_rep02,TREEHOUSE_POLYA_25_01,Treehouse,173,2
LAML,LAML_rep03,TREEHOUSE_POLYA_25_01,Treehouse,173,3
LAML,LAML_rep04,TREEHOUSE_POLYA_25_01,Treehouse,173,4
LAML,LAML_rep05,TREEHOUSE_POLYA_25_01,Treehouse,173,5
LAML_APL,LAML_APL_rep01,BEATAML_OHSU_2022,BeatAML,20,1
LAML_APL,LAML_APL_rep02,BEATAML_OHSU_2022,BeatAML,20,2
LAML_APL,LAML_APL_rep03,BEATAML_OHSU_2022,BeatAML,20,3
LAML_APL,LAML_APL_rep04,BEATAML_OHSU_2022,BeatAML,20,4
LAML_APL,LAML_APL_rep05,BEATAML_OHSU_2022,BeatAML,20,5
LAML_ELNadv,LAML_ELNadv_rep01,BEATAML_OHSU_2022,BeatAML,189,1
LAML_ELNadv,LAML_ELNadv_rep02,BEATAML_OHSU_2022,BeatAML,189,2
LAML_ELNadv,LAML_ELNadv_rep03,BEATAML_OHSU_2022,BeatAML,189,3
LAML_ELNadv,LAML_ELNadv_rep04,BEATAML_OHSU_2022,BeatAML,189,4
LAML_ELNadv,LAML_ELNadv_rep05,BEATAML_OHSU_2022,BeatAML,189,5
LAML_ELNfav,LAML_ELNfav_rep01,BEATAML_OHSU_2022,BeatAML,238,1
LAML_ELNfav,LAML_ELNfav_rep02,BEATAML_OHSU_2022,BeatAML,238,2
LAML_ELNfav,LAML_ELNfav_rep03,BEATAML_OHSU_2022,BeatAML,238,3
LAML_ELNfav,LAML_ELNfav_rep04,BEATAML_OHSU_2022,BeatAML,238,4
LAML_ELNfav,LAML_ELNfav_rep05,BEATAML_OHSU_2022,BeatAML,238,5
LAML_ELNint,LAML_ELNint_rep01,BEATAML_OHSU_2022,BeatAML,154,1
LAML_ELNint,LAML_ELNint_rep02,BEATAML_OHSU_2022,BeatAML,154,2
LAML_ELNint,LAML_ELNint_rep03,BEATAML_OHSU_2022,BeatAML,154,3
LAML_ELNint,LAML_ELNint_rep04,BEATAML_OHSU_2022,BeatAML,154,4
LAML_ELNint,LAML_ELNint_rep05,BEATAML_OHSU_2022,BeatAML,154,5
LGG,LGG_rep01,TREEHOUSE_POLYA_25_01,Treehouse,523,1
LGG,LGG_rep02,TREEHOUSE_POLYA_25_01,Treehouse,523,2
LGG,LGG_rep03,TREEHOUSE_POLYA_25_01,Treehouse,523,3
LGG,LGG_rep04,TREEHOUSE_POLYA_25_01,Treehouse,523,4
LGG,LGG_rep05,TREEHOUSE_POLYA_25_01,Treehouse,523,5
LIHC,LIHC_rep01,TREEHOUSE_POLYA_25_01,Treehouse,368,1
LIHC,LIHC_rep02,TREEHOUSE_POLYA_25_01,Treehouse,368,2
LIHC,LIHC_rep03,TREEHOUSE_POLYA_25_01,Treehouse,368,3
LIHC,LIHC_rep04,TREEHOUSE_POLYA_25_01,Treehouse,368,4
LIHC,LIHC_rep05,TREEHOUSE_POLYA_25_01,Treehouse,368,5
LUAD,LUAD_rep01,TREEHOUSE_POLYA_25_01,Treehouse,515,1
LUAD,LUAD_rep02,TREEHOUSE_POLYA_25_01,Treehouse,515,2
LUAD,LUAD_rep03,TREEHOUSE_POLYA_25_01,Treehouse,515,3
LUAD,LUAD_rep04,TREEHOUSE_POLYA_25_01,Treehouse,515,4
LUAD,LUAD_rep05,TREEHOUSE_POLYA_25_01,Treehouse,515,5
LUAD_EGFR,LUAD_EGFR_rep01,TREEHOUSE_POLYA_25_01,Treehouse,67,1
LUAD_EGFR,LUAD_EGFR_rep02,TREEHOUSE_POLYA_25_01,Treehouse,67,2
LUAD_EGFR,LUAD_EGFR_rep03,TREEHOUSE_POLYA_25_01,Treehouse,67,3
LUAD_EGFR,LUAD_EGFR_rep04,TREEHOUSE_POLYA_25_01,Treehouse,67,4
LUAD_EGFR,LUAD_EGFR_rep05,TREEHOUSE_POLYA_25_01,Treehouse,67,5
LUAD_KRAS,LUAD_KRAS_rep01,TREEHOUSE_POLYA_25_01,Treehouse,153,1
LUAD_KRAS,LUAD_KRAS_rep02,TREEHOUSE_POLYA_25_01,Treehouse,153,2
LUAD_KRAS,LUAD_KRAS_rep03,TREEHOUSE_POLYA_25_01,Treehouse,153,3
LUAD_KRAS,LUAD_KRAS_rep04,TREEHOUSE_POLYA_25_01,Treehouse,153,4
LUAD_KRAS,LUAD_KRAS_rep05,TREEHOUSE_POLYA_25_01,Treehouse,153,5
LUAD_STK11,LUAD_STK11_rep01,TREEHOUSE_POLYA_25_01,Treehouse,142,1
LUAD_STK11,LUAD_STK11_rep02,TREEHOUSE_POLYA_25_01,Treehouse,142,2
LUAD_STK11,LUAD_STK11_rep03,TREEHOUSE_POLYA_25_01,Treehouse,142,3
LUAD_STK11,LUAD_STK11_rep04,TREEHOUSE_POLYA_25_01,Treehouse,142,4
LUAD_STK11,LUAD_STK11_rep05,TREEHOUSE_POLYA_25_01,Treehouse,142,5
LUSC,LUSC_rep01,TREEHOUSE_POLYA_25_01,Treehouse,498,1
LUSC,LUSC_rep02,TREEHOUSE_POLYA_25_01,Treehouse,498,2
LUSC,LUSC_rep03,TREEHOUSE_POLYA_25_01,Treehouse,498,3
LUSC,LUSC_rep04,TREEHOUSE_POLYA_25_01,Treehouse,498,4
LUSC,LUSC_rep05,TREEHOUSE_POLYA_25_01,Treehouse,498,5
MBL,MBL_rep01,TREEHOUSE_POLYA_25_01,Treehouse,125,1
MBL,MBL_rep02,TREEHOUSE_POLYA_25_01,Treehouse,125,2
MBL,MBL_rep03,TREEHOUSE_POLYA_25_01,Treehouse,125,3
MBL,MBL_rep04,TREEHOUSE_POLYA_25_01,Treehouse,125,4
MBL,MBL_rep05,TREEHOUSE_POLYA_25_01,Treehouse,125,5
MCL,MCL_rep01,GEO_HEME_2022,GEO,51,1
MCL,MCL_rep02,GEO_HEME_2022,GEO,51,2
MCL,MCL_rep03,GEO_HEME_2022,GEO,51,3
MCL,MCL_rep04,GEO_HEME_2022,GEO,51,4
MCL,MCL_rep05,GEO_HEME_2022,GEO,51,5
MDS,MDS_rep01,GSE114922_SHIOZAWA_2018,recount3,82,1
MDS,MDS_rep02,GSE114922_SHIOZAWA_2018,recount3,82,2
MDS,MDS_rep03,GSE114922_SHIOZAWA_2018,recount3,82,3
MDS,MDS_rep04,GSE114922_SHIOZAWA_2018,recount3,82,4
MDS,MDS_rep05,GSE114922_SHIOZAWA_2018,recount3,82,5
MESO,MESO_rep01,TREEHOUSE_POLYA_25_01,Treehouse,87,1
MESO,MESO_rep02,TREEHOUSE_POLYA_25_01,Treehouse,87,2
MESO,MESO_rep03,TREEHOUSE_POLYA_25_01,Treehouse,87,3
MESO,MESO_rep04,TREEHOUSE_POLYA_25_01,Treehouse,87,4
MESO,MESO_rep05,TREEHOUSE_POLYA_25_01,Treehouse,87,5
MM,MM_rep01,MMRF_COMMPASS,MMRF,764,1
MM,MM_rep02,MMRF_COMMPASS,MMRF,764,2
MM,MM_rep03,MMRF_COMMPASS,MMRF,764,3
MM,MM_rep04,MMRF_COMMPASS,MMRF,764,4
MM,MM_rep05,MMRF_COMMPASS,MMRF,764,5
MPN,MPN_rep01,GEO_HEME_2022,GEO,45,1
MPN,MPN_rep02,GEO_HEME_2022,GEO,45,2
MPN,MPN_rep03,GEO_HEME_2022,GEO,45,3
MPN,MPN_rep04,GEO_HEME_2022,GEO,45,4
MPN,MPN_rep05,GEO_HEME_2022,GEO,45,5
MTC,MTC_rep01,GSE32662_PRINGLE_2012,GEO,52,1
MTC,MTC_rep02,GSE32662_PRINGLE_2012,GEO,52,2
MTC,MTC_rep03,GSE32662_PRINGLE_2012,GEO,52,3
MTC,MTC_rep04,GSE32662_PRINGLE_2012,GEO,52,4
MTC,MTC_rep05,GSE32662_PRINGLE_2012,GEO,52,5
NBL,NBL_rep01,TARGET_NBL_2018,TARGET,155,1
NBL,NBL_rep02,TARGET_NBL_2018,TARGET,155,2
NBL,NBL_rep03,TARGET_NBL_2018,TARGET,155,3
NBL,NBL_rep04,TARGET_NBL_2018,TARGET,155,4
NBL,NBL_rep05,TARGET_NBL_2018,TARGET,155,5
NBL_MYCNamp,NBL_MYCNamp_rep01,TARGET_NBL_2018,TARGET,33,1
NBL_MYCNamp,NBL_MYCNamp_rep02,TARGET_NBL_2018,TARGET,33,2
NBL_MYCNamp,NBL_MYCNamp_rep03,TARGET_NBL_2018,TARGET,33,3
NBL_MYCNamp,NBL_MYCNamp_rep04,TARGET_NBL_2018,TARGET,33,4
NBL_MYCNamp,NBL_MYCNamp_rep05,TARGET_NBL_2018,TARGET,33,5
NBL_MYCNnonamp,NBL_MYCNnonamp_rep01,TARGET_NBL_2018,TARGET,122,1
NBL_MYCNnonamp,NBL_MYCNnonamp_rep02,TARGET_NBL_2018,TARGET,122,2
NBL_MYCNnonamp,NBL_MYCNnonamp_rep03,TARGET_NBL_2018,TARGET,122,3
NBL_MYCNnonamp,NBL_MYCNnonamp_rep04,TARGET_NBL_2018,TARGET,122,4
NBL_MYCNnonamp,NBL_MYCNnonamp_rep05,TARGET_NBL_2018,TARGET,122,5
NEC_LUNG_LARGECELL,NEC_LUNG_LARGECELL_rep01,DRMETRICS_ALCALA_2019_LNEN,IARC LNEN,69,1
NEC_LUNG_LARGECELL,NEC_LUNG_LARGECELL_rep02,DRMETRICS_ALCALA_2019_LNEN,IARC LNEN,69,2
NEC_LUNG_LARGECELL,NEC_LUNG_LARGECELL_rep03,DRMETRICS_ALCALA_2019_LNEN,IARC LNEN,69,3
NEC_LUNG_LARGECELL,NEC_LUNG_LARGECELL_rep04,DRMETRICS_ALCALA_2019_LNEN,IARC LNEN,69,4
NEC_LUNG_LARGECELL,NEC_LUNG_LARGECELL_rep05,DRMETRICS_ALCALA_2019_LNEN,IARC LNEN,69,5
NET_LUNG,NET_LUNG_rep01,DRMETRICS_ALCALA_2019_LNEN,IARC LNEN,118,1
NET_LUNG,NET_LUNG_rep02,DRMETRICS_ALCALA_2019_LNEN,IARC LNEN,118,2
NET_LUNG,NET_LUNG_rep03,DRMETRICS_ALCALA_2019_LNEN,IARC LNEN,118,3
NET_LUNG,NET_LUNG_rep04,DRMETRICS_ALCALA_2019_LNEN,IARC LNEN,118,4
NET_LUNG,NET_LUNG_rep05,DRMETRICS_ALCALA_2019_LNEN,IARC LNEN,118,5
NET_MIDGUT,NET_MIDGUT_rep01,GSE98894_ALVAREZ_2018_NET,GEO,81,1
NET_MIDGUT,NET_MIDGUT_rep02,GSE98894_ALVAREZ_2018_NET,GEO,81,2
NET_MIDGUT,NET_MIDGUT_rep03,GSE98894_ALVAREZ_2018_NET,GEO,81,3
NET_MIDGUT,NET_MIDGUT_rep04,GSE98894_ALVAREZ_2018_NET,GEO,81,4
NET_MIDGUT,NET_MIDGUT_rep05,GSE98894_ALVAREZ_2018_NET,GEO,81,5
NET_PANCREAS,NET_PANCREAS_rep01,GSE118014_ALVAREZ_2018,GEO,33,1
NET_PANCREAS,NET_PANCREAS_rep02,GSE118014_ALVAREZ_2018,GEO,33,2
NET_PANCREAS,NET_PANCREAS_rep03,GSE118014_ALVAREZ_2018,GEO,33,3
NET_PANCREAS,NET_PANCREAS_rep04,GSE118014_ALVAREZ_2018,GEO,33,4
NET_PANCREAS,NET_PANCREAS_rep05,GSE118014_ALVAREZ_2018,GEO,33,5
NET_RECTAL,NET_RECTAL_rep01,GSE98894_ALVAREZ_2018_NET,GEO,18,1
NET_RECTAL,NET_RECTAL_rep02,GSE98894_ALVAREZ_2018_NET,GEO,18,2
NET_RECTAL,NET_RECTAL_rep03,GSE98894_ALVAREZ_2018_NET,GEO,18,3
NET_RECTAL,NET_RECTAL_rep04,GSE98894_ALVAREZ_2018_NET,GEO,18,4
NET_RECTAL,NET_RECTAL_rep05,GSE98894_ALVAREZ_2018_NET,GEO,18,5
NPC,NPC_rep01,TREEHOUSE_POLYA_25_01,Treehouse,4,1
NPC,NPC_rep02,TREEHOUSE_POLYA_25_01,Treehouse,4,2
NPC,NPC_rep03,TREEHOUSE_POLYA_25_01,Treehouse,4,3
NPC,NPC_rep04,TREEHOUSE_POLYA_25_01,Treehouse,4,4
NUTM,NUTM_rep01,TREEHOUSE_POLYA_25_01,Treehouse,1,1
OV,OV_rep01,TREEHOUSE_POLYA_25_01,Treehouse,426,1
OV,OV_rep02,TREEHOUSE_POLYA_25_01,Treehouse,426,2
OV,OV_rep03,TREEHOUSE_POLYA_25_01,Treehouse,426,3
OV,OV_rep04,TREEHOUSE_POLYA_25_01,Treehouse,426,4
OV,OV_rep05,TREEHOUSE_POLYA_25_01,Treehouse,426,5
PAAD,PAAD_rep01,TREEHOUSE_POLYA_25_01,Treehouse,179,1
PAAD,PAAD_rep02,TREEHOUSE_POLYA_25_01,Treehouse,179,2
PAAD,PAAD_rep03,TREEHOUSE_POLYA_25_01,Treehouse,179,3
PAAD,PAAD_rep04,TREEHOUSE_POLYA_25_01,Treehouse,179,4
PAAD,PAAD_rep05,TREEHOUSE_POLYA_25_01,Treehouse,179,5
PCPG,PCPG_rep01,TREEHOUSE_POLYA_25_01,Treehouse,182,1
PCPG,PCPG_rep02,TREEHOUSE_POLYA_25_01,Treehouse,182,2
PCPG,PCPG_rep03,TREEHOUSE_POLYA_25_01,Treehouse,182,3
PCPG,PCPG_rep04,TREEHOUSE_POLYA_25_01,Treehouse,182,4
PCPG,PCPG_rep05,TREEHOUSE_POLYA_25_01,Treehouse,182,5
PRAD,PRAD_rep01,TREEHOUSE_POLYA_25_01,Treehouse,496,1
PRAD,PRAD_rep02,TREEHOUSE_POLYA_25_01,Treehouse,496,2
PRAD,PRAD_rep03,TREEHOUSE_POLYA_25_01,Treehouse,496,3
PRAD,PRAD_rep04,TREEHOUSE_POLYA_25_01,Treehouse,496,4
PRAD,PRAD_rep05,TREEHOUSE_POLYA_25_01,Treehouse,496,5
RB,RB_rep01,TREEHOUSE_RIBOD_25_01,Treehouse,15,1
RB,RB_rep02,TREEHOUSE_RIBOD_25_01,Treehouse,15,2
RB,RB_rep03,TREEHOUSE_RIBOD_25_01,Treehouse,15,3
RB,RB_rep04,TREEHOUSE_RIBOD_25_01,Treehouse,15,4
RB,RB_rep05,TREEHOUSE_RIBOD_25_01,Treehouse,15,5
READ,READ_rep01,TREEHOUSE_POLYA_25_01,Treehouse,93,1
READ,READ_rep02,TREEHOUSE_POLYA_25_01,Treehouse,93,2
READ,READ_rep03,TREEHOUSE_POLYA_25_01,Treehouse,93,3
READ,READ_rep04,TREEHOUSE_POLYA_25_01,Treehouse,93,4
READ,READ_rep05,TREEHOUSE_POLYA_25_01,Treehouse,93,5
RT,RT_rep01,TARGET_RT_2017,TARGET,63,1
RT,RT_rep02,TARGET_RT_2017,TARGET,63,2
RT,RT_rep03,TARGET_RT_2017,TARGET,63,3
RT,RT_rep04,TARGET_RT_2017,TARGET,63,4
RT,RT_rep05,TARGET_RT_2017,TARGET,63,5
SARC_ANGIO,SARC_ANGIO_rep01,TREEHOUSE_POLYA_25_01,Treehouse,20,1
SARC_ANGIO,SARC_ANGIO_rep02,TREEHOUSE_POLYA_25_01,Treehouse,20,2
